name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Boyd, Hugh (1746-1794)",,,,"Junius, Public Advertiser",,"Junius, Public Advertiser",http://www.oxforddnb.com/view/article/3105?docPos=15
"Boyer, Abel (1667-1729)",,whig,,,,Hannoverian whig,http://www.oxforddnb.com/view/article/3122?docPos=3
"Bradbury, Thomas (1677-1759)",,whig,,,,Hannoverian whig,http://www.oxforddnb.com/view/article/3169?docPos=7
"Bradley, Richard (1688-1732)",,,,,author,writer,http://www.oxforddnb.com/view/article/3189?docPos=15
"Bradshaw, James (NA-1746)",,,,,,,
"Brett, Peter (1748-NA)",,,,,,,
Britannus,,,,,,,
"Brockman, William (1658-1741)",,,,,,,
"Broderick, Thomas",,,,,,,
"Brodrick, Thomas",,,,,,,
"Broughton, Thomas (1704-1774)",,tory,high-church,,,"tory, high-churchman",http://www.oxforddnb.com/view/article/3589?docPos=11
"Browne, Anthony (1510-1567)",,,,pro-Mary Stuart,,Mary Stuart supporter,http://www.oxforddnb.com/view/article/3666?docPos=14
"Browne, Thomas (1654-1741)",,,,,,,
"Brydall, John (1635-NA)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/3800
"Buckingham, George Villiers (1628-1687)",,royalist,,,,,http://www.oxforddnb.com/view/article/28294?docPos=3
"Buckingham, John Sheffield (1648-NA)",,,,,,,
"Budgell, Eustace (1686-1737)",,royalist,,Royalist who turned to parliament after Charles I execution,,Royalist who turned to parliament after Charles I execution,http://www.oxforddnb.com/view/article/28294?docPos=18
"Bugg, Francis (1640-1724)",,,quaker,,,Quaker / anti-Quaker,http://www.oxforddnb.com/view/article/3890?docPos=1
"Bulkley, Charles (1719-1797)",,,presbyterian,,minister,Presbyterian minister,http://www.oxforddnb.com/view/article/3900?docPos=4
"Bullingbrooke, Edward",,,,,,,
"Bulstrode, Richard (1610-1711)",,royalist,,,,Royalist,
"Bunch, ",,,,,,,http://www.oxforddnb.com/view/article/3930?docPos=3
"Burchett, Josiah (1666-1746)",,whig,,,naval officer,"court whig, naval officer",http://www.oxforddnb.com/view/article/3955?docPos=2
"Burke, Gerald",,,,,officer,officer in India,http://www.oxforddnb.com/view/article/4030?docPos=19
"Burke, William (1730-1798)",,,,,,,
"Burn, Richard (1709-1785)",,,,,legal author,Jurisprudential author,http://www.oxforddnb.com/view/article/4043?docPos=10
"Burnet, Gilbert (1643-1715)",,whig,,"anti-James I, popular",,"Whig, unfavourable of James I, very popular",http://www.oxforddnb.com/view/article/4061?docPos=4
