name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Henley, John (1692-1756)",,whig,dissenter,,,dissenting whig,http://www.oxforddnb.com/view/article/12928?docPos=5
"Henry,  (1491-1547)",,royalist,anti-catholic,,monarch,Henry VIII,http://www.oxforddnb.com/view/article/12955?docPos=1
"Herbert Of Cherbury, Edward (1583-1648)",,,,multitalent,,multitalent,http://www.oxforddnb.com/view/article/13020?docPos=1
"Heylyn, Peter (1600-1662)",,royalist,,important,,"Royalist, key-player (main character in MacGillvray",http://www.oxforddnb.com/view/article/13171?docPos=2
"Hickeringill, Edmund (1631-1708)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/13200
"Higgons, Bevill (1670-1735)",,jacobite,,,,Jacobite,http://www.oxforddnb.com/view/article/13240?docPos=1
"Hill, John",,,,,,,
"Hingeston, Henry",,,,,,,
"Hobbes, Thomas (1588-1679)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/13400?docPos=3
"Hole, Matthew (1639-1730)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/13501
"Home, Francis (1719-1813)",Scot,,,,physician,Scot physician,http://www.oxforddnb.com/view/article/13640
"Hooke, Andrew (NA-1753)",,jacobite,catholic,,,"Roman Catholic, Jacobite",http://www.oxforddnb.com/view/article/13692?docPos=6
"Hooke, N (1690-1763)",,,,,,,
"Hooper, Jacob",,,,,,,
"Horace, ",,,,,,,
"Hornby, Charles (NA-1739)",,tory,,,author,tory author,http://www.oxforddnb.com/view/article/105383?docPos=4
"Horne, George (1730-1792)",,,high-church,anti-Hume,,high-churchman Hume antagonist,http://www.oxforddnb.com/view/article/13789?docPos=5
"Horsey, John (NA-1777)",,,,,,,
"Horsley, William (1701-1776)",,,,,,,
"Hort, Josiah (1674-1751)",Ireland,,Church of Ireland,,,Church of Ireland,http://www.oxforddnb.com/view/article/13825?docPos=2
"Houghton, John (1640-1705)",,,,,pharmacist,pharmacist and author,http://www.oxforddnb.com/view/article/13868?docPos=9
"Howard, Gorges Edmond (1715-1786)",,,,pro-Ireland,uthor,writer and improvement of Ireland,http://www.oxforddnb.com/view/article/13903?docPos=57
"Howe, John (1630-1705)",,,,,,,
"Howell, William (1631-1683)",,parliamentarian,presbyterian,,,presbyterian parliamentarian,http://www.oxforddnb.com/view/article/13956?docPos=2
"Hudson, Peter",,,,,,,
"Hume, John (1703-1782)",,,,,,,
"Humfrey, John (1621-1719)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/14153?docPos=2
"Hurd, Richard (1720-1808)",,,Church of England,,bishop,anglican bishop,http://www.oxforddnb.com/view/article/14249
Impartial Hand,,whig,,,,,
"J, ",,,,,,,
"J,  (1680-1702)",,,,,,,
"Jackson, Edward (1692-1758)",,,,,,,
"Jacob, Giles (1686-1744)",,,,,legal author,legal and literary author,http://www.oxforddnb.com/view/article/14565
"James, R (1703-1776)",,,,,physician,physician,http://www.oxforddnb.com/view/article/14618?docPos=71
"Jameson, William (1689-1720)",,whig,,anti-quaker,,"whig, anti-quaker",http://www.oxforddnb.com/view/article/14635?docPos=2
"Jebb, S (1694-1772)",,,,nonjuror,scholar,nonjuring scholar,http://www.oxforddnb.com/view/article/14686?docPos=16
"Johnson, Humphry",,jacobite,,,bishop,"jacobite, bishop",http://www.oxforddnb.com/view/article/14889?docPos=3
"Johnson, James (1705-1774)",,whig,church of England,,,"whig, church of England",http://www.oxforddnb.com/view/article/14916?docPos=1
"Johnson, Mary (1753-1706)",,,,,,,
"Johnson, Samuel (1649-1703)",,whig,,anti-popery,,,http://www.oxforddnb.com/view/article/14916?docPos=1
"Johnson, Samuel (1758-NA)",,,,,,,
"Jones, D (1676-1720)",,,,,historian,historian,http://www.oxforddnb.com/view/article/14988?docPos=7
"Josephus, Flavius",,,,,,,
"Jurieu, Pierre (1637-1713)",,,,,,,
"Justice, Alexander",,,,,,,
"Kames, Henry Home (1696-1782)",Scot,whig,,,lawyer,"Scot, lawyer, whig",http://www.oxforddnb.com/view/article/13643?docPos=1
"Keene, Edmund (1714-1781)",,whig,,pro-Walpole,,court whig,http://www.oxforddnb.com/view/article/15247?docPos=5
"Keith, Robert (1681-1757)",,tory,episcopalian,pro-jacobite,,"Episcopalian, Jacobite sympathiser",http://www.oxforddnb.com/view/article/15270?docPos=3
"Kennedy, James (1759-NA)",,,,,,,
"Kennett, White (1660-1728)",,whig,,,,staunch whig,http://www.oxforddnb.com/view/article/15402?docPos=5
"Ker, John (1673-1726)",Scot,jacobite,,,,Scot Jacobite,http://www.oxforddnb.com/view/article/15449?docPos=2
"Kimber, Isaac (1692-1755)",,,baptist,noncomformist,,"baptist, noncomformist",http://www.oxforddnb.com/view/article/15548?docPos=3
"King, Charles (1721-NA)",,whig,,anti-Bolingbroke,whig,"anti-Bolingbroke economist, whig",http://www.oxforddnb.com/view/article/15552?docPos=3
"Kirkpatrick, James (NA-1743)",Scot,,presbyterian,non-subscribing,,"Scot, non-subscfribing presbyterian",http://www.oxforddnb.com/view/article/15674?docPos=2
"Knox, John (1514-1572)",Scot,,,,religious reformer,"Scot, religious reformer",http://www.oxforddnb.com/view/article/15781?docPos=1
"L, ",,,,,,,
"L'écluse Des Loges, Pierre Mathurin De (1716-1783)",,,,,,,
"L'écluse Des Loges, Pierre Mathurin De (1716-1783)",,,,,,,
"La Chapelle, Vincent",,,,,,,
"Lambert, Claude François (1705-1765)",,,,,,,
"Lambert, Claude-françois (1705-1765)",,,,,,,
"Lambert, John (1722-1723)",,,,,,,
"Lancelot, Claude (1615-1695)",,,,,,,
"Landon, John (1721-1782)",,,,,,,
"Langham, Thomas",,,,,,,
"Langley, Batty (1696-1751)",,,,,author on architecture,writer on architecture,http://www.oxforddnb.com/view/article/16022?docPos=4
"Lansdowne, George Granville (1667-1735)",,royalist,,pro-jacobite,,Royalist and jacobite,http://www.oxforddnb.com/view/article/11301?docPos=4
"Larrey, Isaac De (1638-1719)",,,,,,,
"Latimer, Hugh (1485-1555)",,,protestant,,martyr,Protestant martyr,http://www.oxforddnb.com/view/article/16100?docPos=2
"Lawton, Charlwood (1660-1721)",,,,,author,author,http://www.oxforddnb.com/view/article/16211?docPos=1
Layman,,,,,,,
"Le Blanc, Jean-bernard (1707-1781)",,,,,,,
"Le Clerc, Jean (1657-1736)",,,,,theologian,"theologian, author",http://www.oxforddnb.com/view/article/66368?docPos=1
"Le Neve, John (1679-1741)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/16439?docPos=2
"Leadbetter, Charles (1728-NA)",,,,,,,
"Leake, Stephen Martin (1702-1773)",,royalist,,,heraldist,"royalist, heraldist",http://www.oxforddnb.com/view/article/16241?docPos=9
"Lediard, Thomas (1685-1743)",,,,,author,author,http://www.oxforddnb.com/view/article/16269
"Leeds, Thomas Osborne (1631-1712)",,,,,,,
"Lennox, Charlotte (1729-1804)",,,,female,author,female author,http://www.oxforddnb.com/view/article/16454?docPos=13
"Leslie, Charles (1650-1722)",,royalist,episcopalian,anti-catholic,,"Royalist, anti-Catholic, Episcopalian",http://www.oxforddnb.com/view/article/16484?docPos=1
"Lewis, Thomas (1689-1749)",,royalist,high-church,anti-everything,,"royalist, high-church, anti-everything",http://www.oxforddnb.com/view/article/16604?docPos=2
"Lilly, John",,,,,,,
"Limborch, Philippus Van (1633-1712)",,,,,,,
"Lind, James (1716-1794)",Scot,,,,naval officer,"Scot, naval author",http://www.oxforddnb.com/view/article/16669?docPos=1
"Lindsay, John (1686-1768)",,royalist,,"nonjuror, pro-Charles I",,"royalist, pro-Charles I, nonjuring",http://www.oxforddnb.com/view/article/16709?docPos=6
"Locke, John (1632-1704)",,whig,,,,whig,http://www.oxforddnb.com/view/article/16885?docPos=1
"Lockman, John (1698-1771)",,,,compiler of dictionaries,translator,"translator, compiler of dictionairies",http://www.oxforddnb.com/view/article/16912
"Lodge, John (1692-1774)",,,,,genealogist,genealogist,http://www.oxforddnb.com/view/article/16921?docPos=2
"Logan, George (1678-1755)",Scot,whig,,,,"Scot, whig",http://www.oxforddnb.com/view/article/16938?docPos=1
"Lowe, Andrew",,,,,,,
"Lowhen, ",,,,,,,
"Lowman, Moses (1680-1752)",,whig,presbyterian,noncomformist,,"nonconforming, presbyterian whig",http://www.oxforddnb.com/view/article/17097?docPos=1
"Lowndes, Thomas (1719-1784)",,,,,,,
"Lucas, Charles (1713-1771)",,,,Irish nationalist,,Irish nationalist,http://www.oxforddnb.com/view/article/17124?docPos=13
"Ludlow, Edmund (1617-1692)",,parliamentarian,,,,Parliamentarian,http://www.oxforddnb.com/view/article/17161?docPos=3
"Macbride, John (1651-1718)",Irish,,presbyterian,,,Ulster Presbyterian,http://www.oxforddnb.com/view/article/17361?docPos=4
"Mackenzie, George (1636-1691)",Scot,jacobite,episcopalian,,,"Jacobite Scot, Episcopalian",http://www.oxforddnb.com/view/article/17581?docPos=43
"Mackenzie, George (1669-1725)",Scot,royalist,,,,"Scot, Royalist",http://www.oxforddnb.com/view/article/17579?docPos=42
"Mackworth, Humphrey (1657-1727)",,tory,,,,tory ,http://www.oxforddnb.com/view/article/17631?docPos=2
"Macqueen, Daniel (NA-1777)",Scot,,calvinist,anti-Hume,,"Scot Calvinist, offended by Hume on reformation",http://www.oxforddnb.com/view/article/64376?docPos=1
"Madox, Thomas (1666-1727)",,,dissenter,,,"antiquary, dissent leanings perhaps",http://www.oxforddnb.com/view/article/17767?docPos=2
"Magill, Moses (1714-1715)",,,,,,,
"Maitland, William (1693-1757)",Scot,whig,,consitutional author,,"Scot, prudential whiggery in which constitutions changed according to historical circumstance ",http://www.oxforddnb.com/view/article/17839?docPos=36
"Malcolm, Alexander (1685-1763)",,,,,,,
"Mall, Thomas (1629-1630)",,,,,,,
"Manning, Robert (1730-1731)",,,catholic,,priest,Roman Catholic priest,http://www.oxforddnb.com/view/article/17974
"Markwick, Nathaniel (1664-1735)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/18076
"Marshall, Nathaniel (NA-1730)",,tory,church of England,,,"Church of England, tory",http://www.oxforddnb.com/view/article/18147
"Marvell, Andrew (1621-1678)",,parliamentarian,,,,Parliamentarian,http://www.oxforddnb.com/view/article/18242?docPos=2
"Massie, J (NA-1784)",,whig,,pro-Pitt,economic author,"whig, Pitt supporter, economic writer",http://www.oxforddnb.com/view/article/18303?docPos=4
"Mather, W (1695-NA)",,,,,,,
"Mattocks, Thomas",,,,,,,
"Maxwell, Henry (1723-1798)",,,,,,,
"Maynwaring, Arthur (1668-1712)",,whig,,,,whig,http://www.oxforddnb.com/view/article/17809?docPos=2
"Mayo, Daniel (1672-1733)",,whig,presbyterian,,,Presbuterian whig,http://www.oxforddnb.com/view/article/18454?docPos=6
"Mayoh, Thomas",,,,,,,
"Mears, Abraham",,,,,,,
Member Of The House Of Commons,,,,,,,
"Menteith, Robert",Scot,tory,episcopalian,pro-Jacobite,,"Scot, episcopalian, Jacobite sympathiser",http://www.oxforddnb.com/view/article/18563?docPos=5
"Miege, Guy (1644-1718)",,,,,author,author,http://www.oxforddnb.com/view/article/18687
"Miège, Guy (1644-1718)",,,,,author,author,http://www.oxforddnb.com/view/article/18687
"Milbourne, Luke (1649-1720)",,,,,poet,poet,http://www.oxforddnb.com/view/article/18692?docPos=3
"Misson, Henri",,,,,,,
"Molloy, Charles (1646-1690)",,,,,legal author,legal author,http://www.oxforddnb.com/view/article/18914?docPos=1
"Molyneux, William (1656-1698)",Irish,,,,philosopher,"Philosopher, consitutional author, Irish",http://www.oxforddnb.com/view/article/18929?docPos=17
"Monier De Clairecombe, Jean",,,,,,,
"Montfaucon, Bernard De (1655-1741)",,,,,,,
"Moore, John (1646-1714)",,whig,low-church,,,low-chuch whig,http://www.oxforddnb.com/view/article/19126?docPos=11
"Morant, Philip (1700-1770)",,whig,,Tindal's assistant,Rapin translator,"Tindal's assistant, whig, Rapin translation",http://www.oxforddnb.com/view/article/19159?docPos=3
"Mordington, George Douglas (NA-1741)",,whig,,anti-Catholic,,"whig, anti-catholic",http://www.oxforddnb.com/view/article/7887
"Moréri, Louis (1643-1680)",,,,,,,
"Morgan, M",,,,,,,
"Morins, Richard De (NA-1242)",,,,,canon lawyer,canon lawyer,http://www.oxforddnb.com/view/article/23518
"Morris, Corbyn (1710-1779)",,whig,,pro-Walpole,,Walpole court whig,http://www.oxforddnb.com/view/article/19302
"Mortimer, Thomas (1730-1810)",,,,,economical author,economical author,http://www.oxforddnb.com/view/article/19357?docPos=36
"Moryson, Fynes (1566-1630)",,,,,author,"author, traveller",http://www.oxforddnb.com/view/article/19385?docPos=3
"Mottley, John (1692-1750)",,,,,author,author,http://www.oxforddnb.com/view/article/19424
"Murphy, Arthur (1727-1805)",,,,,playwright,"playwright, theatre ",http://www.oxforddnb.com/view/article/19569?docPos=1
"Murray, Richard (NA-1781)",,,,,,,
"N, ",,,,,,,
NA,,,,,,,
"Neal, Daniel (1678-1743)",,,dissenter,history of puritans,,"history of puritans (important), dissenter",http://www.oxforddnb.com/view/article/19817
"Nelson, William (1653-1813)",,,,,legal author,legal author,http://www.oxforddnb.com/view/article/19887?docPos=1
"Nepos, Cornelius",,,,,,,
"Newbery, John (1713-1767)",Scot,,,,publisher,Scot publisher,http://www.oxforddnb.com/view/article/19978?docPos=2
"Newcome, Richard (1701-1769)",,,,,,,
"Newlin, Thomas (1688-1743)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/20014?docPos=1
"Nicholls, William (1664-1712)",,,,anti-Hobbes,theologian,"theologian, anti-Hobbes",http://www.oxforddnb.com/view/article/20116?docPos=2
"Nichols, Francis",,,,,physician,physician,http://www.oxforddnb.com/view/article/20109
"North, Roger (1653-1734)",,,,nonjuror,scholar,nonjuring scholar,http://www.oxforddnb.com/view/article/20314?docPos=3
"Nugent, Robert (1730-1788)",,,,,,,
Officer Of The Squadron,,,,,,,
"Oldmixon,  (1673-1742)",,whig,,,,"Importnant figure, whig",http://www.oxforddnb.com/view/article/20695?docPos=2
"Oldys, William (1696-1761)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/20699?docPos=5
"Onslow, Arthur (1691-1768)",,,,,speaker of the house of commons,speaker of the house of commons,http://www.oxforddnb.com/view/article/20788?docPos=2
"Orrery, Roger Boyle (1621-1679)",,parliamentarian,,,,Parliamentarian,http://www.oxforddnb.com/view/article/3138?docPos=4
"Osbaldeston, Richard (1690-1764)",,whig,,,bishop,whig bishop,http://www.oxforddnb.com/view/article/20862?docPos=3
"Osborne, Francis (1593-1659)",,royalist,,anti-James I,,"Royalist?, Chronicles the failings of James I",http://www.oxforddnb.com/view/article/20875?docPos=1
"Osborne, Thomas (1757-1767)",,,,,bookseller,bookseller ,http://www.oxforddnb.com/view/article/20885?docPos=2
"Owen, Charles (NA-1746)",,parliamentarian,,independent,,"Parliamentarian , independent",http://www.oxforddnb.com/view/article/21016?docPos=52
"Owen, James (1654-1706)",,,,noncomformist,,noncomformist  ,http://www.oxforddnb.com/view/article/21012?docPos=48
"Owen, John (1616-1683)",,,,,,,
"Owen, R (1713-1721)",,,,,,,
Palaeophilus Anglicanus,,,,,,,
"Pardon, William",,,,,,,
"Park, Robert (1706-NA)",,,,,,,
"Partridge, John (1644-1715)",,whig,,radical,,radical whig,http://www.oxforddnb.com/view/article/21484?docPos=8
"Paterson, James",,,,,,,
"Paxton, Nicholas",,,,,,,
"Peck, Francis (1692-1743)",,whig,presbyterian,,antiquary,antiquary,
"Peirce, James (1673-1726)",,,,,,presbuterian whig,http://www.oxforddnb.com/view/article/21782
"Penn, William (1644-1718)",,,quaker,,,quaker,http://www.oxforddnb.com/view/article/21857?docPos=3
"Petty, William (1623-1687)",,,,anti-clerical,Irish politics,"Irish business, anti-clerical",http://www.oxforddnb.com/view/article/22069?docPos=1
"Petyt, William (1636-1707)",,whig,,radical,,radical whig,http://www.oxforddnb.com/view/article/22074?docPos=2
"Philipps, John (1700-1764)",,whig,,,,whig,http://www.oxforddnb.com/view/article/39715?docPos=8
"Philips, Erasmus (NA-1743)",,whig,,,,whig,http://www.oxforddnb.com/view/article/22121?docPos=1
"Philips, George (1599-1696)",,,,,,,
Philo dicaios,,,,,,,
"Pickering, W",,,,,,,
"Pinckney, Is",,,,,,,
"Pittis, William (1674-1724)",,tory,,,,tory ,http://www.oxforddnb.com/view/article/22343?docPos=2
"Plutarch, ",,,,,,,
"Pointer, John (1668-1754)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/22440?docPos=1
"Poole, Robert (1708-1752)",,,,,theologian,"theologian, author",http://www.oxforddnb.com/view/article/22521
"Pope, Alexander (1688-1744)",,tory,,,,tory,http://www.oxforddnb.com/view/article/22526?docPos=1
"Postlethwayt, James (NA-1761)",,,,,economical author,"history of public revenue, statistics for Smith etc.",http://www.oxforddnb.com/view/article/22597?docPos=1
"Povey, Charles (1652-1743)",,,,,economical author,economical author,http://www.oxforddnb.com/view/article/22639?docPos=1
"Power, Robert (1729-NA)",,,,,,,
"Poyntz, Stephen (1685-1750)",,,,,diplomatist,diplomatist,http://www.oxforddnb.com/view/article/22694?docPos=13
"Pratt, Charles (1714-1794)",,whig,,,lawyer,whig lawyer,http://www.oxforddnb.com/view/article/22699?docPos=5
"Prentice, Thomas (1702-1782)",,,,,,,
Presbyter Of The Church Of England,,whig,presbyterian,,,presbuterian whig,
"Prideaux, Humphrey (1648-1724)",,whig,,anti-Catholic,,"whig, anti-catholic",http://www.oxforddnb.com/view/article/22784?docPos=3
"Probationer, Belonging To The Assoc Presb Of Glasgow",,,,,,,
"Pulteney, William (1684-1764)",,whig,,pro-Walpole,,court whig,http://www.oxforddnb.com/view/article/22889?docPos=6
"R,  (1632-1725)",,,,,,,
"Radcliff, Ebenezer",,,,,,,
"Raleigh, Walter (1552-1618)",,,,,Elizabethian courtier,Elizabethian courtier,http://www.oxforddnb.com/view/article/23039?docPos=1
"Ralph, James (NA-1762)",,,,anti-Walpole,,anti-Walpole ,http://www.oxforddnb.com/view/article/23060?docPos=1
"Ramsay,  (1686-1743)",,,,,,,
"Randall, Joseph",,,,,,,
"Raynal,  (1713-1796)",,,,,,,
"Reresby, John (1634-1689)",,parliamentarian,,,,parliamentarian,http://www.oxforddnb.com/view/article/23389?docPos=1
"Richardson, Robert",,,,,,,
"Ricouart D'hérouville De Claye, Antoine De",,,,,,,
"Rider, William (1723-1785)",,whig,,popular,historian,whig popular historian,http://www.oxforddnb.com/view/article/23620?docPos=3
"Ridpath, George (1717-1726)",Scot,,presbyterian,,,"Scot, presbyterian",http://www.oxforddnb.com/view/article/23635?docPos=1
"Rigby, Alexander (1594-1650)",,parliamentarian,,,,parliamentarian,http://www.oxforddnb.com/view/article/23643?docPos=4
"Robertson, William",Scot,whig,,,,"Scot, whig",http://www.oxforddnb.com/view/article/23817?docPos=8
"Robertson, William (1721-1793)",,,,,,,
"Robinson, James (1739-NA)",,,,,,,
"Rollin, Charles (1661-1741)",,,,,,,
"Rolt, Richard (1724-1770)",,whig,,,,whig,http://www.oxforddnb.com/view/article/24035?docPos=4
"Rowland, Thomas",,,,,,,
"Royer, Gideon (1650-1722)",,,,,,,
"Ruddiman, Thomas (1674-1757)",Scot,jacobite,,,,Jacobite Scot,http://www.oxforddnb.com/view/article/24249?docPos=1
"Rushworth, John (1612-1690)",,parliamentarian,,Historical collections big deal,,Parliamentarian (big deal) Pre-Restorian reprint book; ohn Rushworth's Historical Collections appeared in successive folio volumes over a period of more than forty years,http://www.oxforddnb.com/view/article/24288?docPos=1
"Rutherforth, T (1712-1771)",,,,,moral philosopher,moral philosopher,http://www.oxforddnb.com/view/article/24367?docPos=1
"Rye, George (1675-1741)",,,,,,,
"Rymer, Thomas (1641-1713)",,,,,King's historian,King's historian,http://www.oxforddnb.com/view/article/24426?docPos=3
"Sabourn, Reay",,,,,,,
"Sacheverell, Henry (1674-1724)",,tory,high-church,,,high-church tory,http://www.oxforddnb.com/view/article/24440?docPos=2
"Sage, John (1652-1711)",Scot,jacobite,episcopalian,,,"Scot, episcopalian, jacobite",http://www.oxforddnb.com/view/article/24471?docPos=2
"Salmon, N (1675-1742)",,royalist,,pro-Stuart,,"Royalist, Stuart sympathy",http://www.oxforddnb.com/view/article/24555?docPos=11
"Salmon, Thomas (1679-1767)",,royalist,,"pro-Stuart, anti-Rapin",,"Royalist, Stuart praise, anti-Rapin",http://www.oxforddnb.com/view/article/24558?docPos=14
"Sancroft, William (1617-1693)",,royalist,church of England,"nonjuror, divine right",,"royalist, nonjuring Church of England, divine right",http://www.oxforddnb.com/view/article/24610?docPos=1
"Sandeman, Robert (1718-1771)",Scot,royalist,,,,"royalist, Scot, church",http://www.oxforddnb.com/view/article/24615?docPos=2
"Sanderson, Robert (1587-1663)",,royalist,,Charles I chaplain,,"Royalist, Charles I chaplain",http://www.oxforddnb.com/view/article/24627?docPos=11
"Sandford, Francis (1630-1694)",,royalist,,James II jerald,,"Royalist, James II herald",http://www.oxforddnb.com/view/article/24633?docPos=5
"Savary Des Brûlons, Jacques (1657-1716)",,,,,,,
"Sawyer, Edmund (NA-1759)",,,,,lawyer,lawyer,http://www.oxforddnb.com/view/article/24754?docPos=2
"Scott, David (1675-1742)",,tory,,,historian,tory historian,http://www.oxforddnb.com/view/article/24912?docPos=1
"Scott, John (1639-1695)",,,"Church of England,",anti-noncomformist,,"church of england, anti-noncomformist",http://www.oxforddnb.com/view/article/24889?docPos=10
"Scott, Sarah (1723-1795)",,,,,,,
"Seacome, John",,,,,,,
"Sedley, Charles (1639-1701)",,parliamentarian,,,,parliamentarian,http://www.oxforddnb.com/view/article/25021?docPos=2
"Segneri, Paolo (1624-1694)",,,,,,,
"Selden, John (1584-1654)",,whig,,,historian,whig historian,http://www.oxforddnb.com/view/article/25052?docPos=1
"Seller, John (1658-1698)",,,,,,,
"Sewel, William (1653-1720)",,,quaker,quaker historian,,quakerism historian,http://www.oxforddnb.com/view/article/25139
"Shakespeare, William (1564-1616)",,,,,shakespeare,shakespeare,http://www.oxforddnb.com/view/article/25200?docPos=8
"Sharpe, Isaac (1695-1718)",,,,,,,
"Shelvocke, George",,,,,naval author,seaman author,http://www.oxforddnb.com/view/article/25320
"Shields, Alexander (1660-1700)",Scot,parliamentarian,presbyterian,,,"Scot, presbyerian, parliamentarian",http://www.oxforddnb.com/view/article/25302?docPos=1
"Shiells, Robert (NA-1753)",Scot,jacobite,,,,"Scot, jacobite ",http://www.oxforddnb.com/view/article/25402?docPos=1
"Shiers, William",,,,,,,
"Short, Thomas (1690-1772)",Scot,,,,physician,"Scot, physician",http://www.oxforddnb.com/view/article/25461?docPos=12
"Sidney, Algernon (1623-1683)",,parliamentarian,,radical,,"parliamentarian, radical",http://www.oxforddnb.com/view/article/25519?docPos=1
"Simon, James",,,,,,,
"Simpson, William (1761-NA)",,,,,,,
"Smedley, Jonathan (1671-1729)",,whig,,pro-Walpole,church of Ireland minister,"Churc of Ireland, court whig",http://www.oxforddnb.com/view/article/25749?docPos=6
"Smith, John (1700-NA)",,,,,,,
"Smollett, Tobias George (1721-1771)",,,,,author,writer,http://www.oxforddnb.com/view/article/25947?docPos=2
"Smyth, George (1689-1746)",,,,,,,
"Somers, John (1651-1716)",,whig,,,,whig,http://www.oxforddnb.com/view/article/26002?docPos=8
"Sparrow, Anthony (1612-1685)",,royalist,,,bishop,"royalist, bishop",http://www.oxforddnb.com/view/article/26086?docPos=2
"Speke, Hugh (1656-1724)",,whig,,agitator,,whig agitator,http://www.oxforddnb.com/view/article/26100?docPos=4
"Spence, David (1747-1786)",,,,,,,
"Spenser, Edmund (1552-1599)",,,,Present state of ireland,,Present state of ireland,http://www.oxforddnb.com/view/article/26145?docPos=1
"Squire, Samuel (1713-1766)",,whig,,pro-Walpole,,court whig,http://www.oxforddnb.com/view/article/26192?docPos=16
"Stackhouse, Thomas (1680-1752)",,whig,,,,whig,http://www.oxforddnb.com/view/article/26197?docPos=3
"Stanhope, Myles",,,,,,,
"Stanley, Thomas (1625-1678)",,,,Epicurean sympathiser,,Epicurean sympathiser,http://www.oxforddnb.com/view/article/26281?docPos=4
"Steele, Richard (1672-1729)",,whig,,,,whig,http://www.oxforddnb.com/view/article/26347?docPos=2
"Stephens, William (NA-1718)",,whig,,,,whig,http://www.oxforddnb.com/view/article/26395?docPos=28
"Stepney, George (1663-1707)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/26404?docPos=3
"Stevens, John (NA-1726)",,jacobite,,,,Jacobite   ,http://www.oxforddnb.com/view/article/26423?docPos=1
"Stewart, Duncan",Scot,whig,,radical,,"Scot, radical, whig",http://www.oxforddnb.com/view/article/26418?docPos=17
"Stewart, James (1635-1713)",,,,,,,
"Stith, William (1707-1755)",,whig,,,,whig,http://www.oxforddnb.com/view/article/68752
"Stow, John (1525-1605)",,,,,historian,historian,http://www.oxforddnb.com/view/article/26611?docPos=4
"Strachey, John (1671-1743)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/26622?docPos=11
"Strafford, Thomas Wentworth (1593-1641)",,,,,,,
"Strype, John (1643-1737)",,,,,historian,historian,http://www.oxforddnb.com/view/article/26690
"Sturt, John (1658-1730)",,,,,engraver,engraver,http://www.oxforddnb.com/view/article/26752?docPos=6
"Swift, Jonathan (1667-1745)",,tory,,,,tory,http://www.oxforddnb.com/view/article/26833?docPos=5
Syllogism Sampson,,,,,,,
"Tavernier, John",,,,,,,
"Taylor, Nathanael (1722-1702)",,parliamentarian,,,,parliamentarian,http://www.oxforddnb.com/view/article/7789
"Taylor, Silas (1624-1678)",,,,,,,
"Temple, William (1628-1699)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/27122?docPos=3
"Tennent, Gilbert (1703-1764)",,,presbyterian,America,,"America, presbyterian",http://www.oxforddnb.com/view/article/68755?docPos=3
"Thomas, John (1696-1781)",,,,,bishop,bishop,http://www.oxforddnb.com/view/article/27223?docPos=5
"Thomson, James (1700-1748)",Scot,whig,opposition,,poet,"Scot, poet, opposition whig",http://www.oxforddnb.com/view/article/27306?docPos=2
"Thoyras, Rapin (1661-1725)",,whig,,,,whig,http://www.oxforddnb.com/view/article/23145
"Thurloe, John (1616-1668)",,parliamentarian,,,,parliamentarian,http://www.oxforddnb.com/view/article/27405?docPos=1
"Tilly, William (1675-1717)",,,,,,,
"Tindal, Matthew (1653-1733)",,whig,,anti-clerical,,anti-clerical whig,http://www.oxforddnb.com/view/article/27462?docPos=3
"Tindal, N (1687-1774)",,whig,,,,whig,http://www.oxforddnb.com/view/article/27463?docPos=4
"Tisdall, William (1669-1735)",,,,anti-dissent,Church of Ireland ,"church of Ireland, anti-dissent",http://www.oxforddnb.com/view/article/27476?docPos=3
"Todd, Jonathan (1713-1791)",,,,,,,
"Toland, John (1670-1722)",,whig,freethinker,,,freethinking whig,http://www.oxforddnb.com/view/article/27497?docPos=1
"Towgood, Micaiah (1700-1792)",,,dissenter,,,presbyterian dissenter,http://www.oxforddnb.com/view/article/27595/27594?docPos=1
"Tremaine, John (NA-1694)",,whig,,,lawyer,whig lawyer,http://www.oxforddnb.com/view/article/27692
True Lover Of The Queen And Country,,,,,,,
"Tucker, Josiah (1712-1799)",,,,anti-radical,economist,"economist, anti-radical",http://www.oxforddnb.com/view/article/27790
"Tyrrell, James (1642-1718)",,whig,,leading English,,Leading English whig,http://www.oxforddnb.com/view/article/27953
"Tytler, William (1711-1792)",Scot,,,anti-Hume,historian,"Scot, anti-Hume historian",http://www.oxforddnb.com/view/article/27969?docPos=7
"Upton, John (1707-1760)",,,church of England,,,Church of England,http://www.oxforddnb.com/view/article/28009/28010?docPos=9
"Vauban, Sébastien Le Prestre De (1633-1707)",,,,,,,
"Venegas, Miguel (1680-1764)",,,,,,,
