"year","hits"
1705,976970
1706,862645
1707,855983
1708,844085
1709,799856
1710,1047757
1711,884608
1712,848664
1713,785896
1714,967716
1715,1074631
1716,916459
1717,846790
1718,1023111
1719,1012580
1720,1264098
1721,1155803
1722,1067405
1723,968258
1724,987076
1725,1187740
1726,1497805
1727,1265863
1728,1304216
1729,999881
1730,1290466
1731,940277
1732,1322055
1733,1123751
1734,1151558
1735,1393896
1736,1392109
1737,1212764
1738,1223593
1739,1479186
1740,1295940
1741,1245693
1742,1484006
1743,1233992
1744,1241925
1745,1204322
1746,934134
1747,1443145
1748,1157433
1749,1304959
1750,1479180
1751,1526233
1752,1497191
1753,1687302
1754,1547323
1755,1650432
1756,1461805
1757,1668802
1758,1340357
1759,1473187
1760,1775295
1761,1693592
1762,1612097
1763,1774944
1764,1862004
1765,1991254
1766,1987815
1767,1911254
1768,2135464
1769,2055014
1770,2282863
1771,2184464
1772,2117573
1773,1994875
1774,2088206
1775,2522509
1776,2272242
1777,2415853
1778,2180636
1779,2111472
1780,2082077
1781,1846887
1782,2071872
1783,2334905
1784,2271450
1785,2838119
1786,2693734
1787,2482766
1788,3093693
1789,2980851
1790,3431634
1791,3326425
1792,3579933
1793,3407602
1794,3378050
1795,3756378
1796,4295418
1797,3375473
1798,3370282
1799,3197561
