"0015-248X","1901","111.25"
"fk01078","1896","9.0"
"fk01346","1895","8.0"
"fk01880","1897","9.166666666666666"
"fk20090730","1909","9.5"
"fk19511","1907","3.9834983498349836"
"fk36694","1887","95.0"
"1457-4500","1847","3.980769230769231"
"1458-2333","1899","4.0"
"fk01741","1897","6.166666666666667"
"1458-8544","1894","4.0"
"fk00142","1897","8.166666666666666"
"fk32652","1906","143.0"
"1458-0721","1906","4.0"
"fk01165","1908","4.0"
"0785-398X","1847","4.495145631067961"
"fk00946","1886","16.0"
"fk32652","1908","180.0"
"0356-4487","1891","24.333333333333332"
"1457-4888","1820","4.115384615384615"
"fk20090258","1891","4.0"
"fk01187","1909","20.666666666666668"
"fk32652","1904","190.0"
"0787-8842","1900","8.363636363636363"
"0355-5976","1908","16.46153846153846"
"fk36657","1901","4.466666666666667"
"fk00381","1909","11.326530612244898"
"0355-8347","1909","16.0"
"fk01750","1891","16.0"
"0356-5653","1908","3.980392156862745"
"0358-6294","1892","4.288461538461538"
"1458-0594","1884","3.2660550458715596"
"fk980762","1895","8.0"
"fk14868","1904","4.071428571428571"
"1458-1825","1895","3.9591836734693877"
"fk00088","1889","16.0"
"fk10080","1908","4.0"
"fk01732","1892","5.0"
"1458-2708","1890","3.9934210526315788"
"fk04049","1901","22.5"
"fk01346","1897","8.442307692307692"
"0355-7146","1898","9.0"
"fk01402","1900","4.0"
"fk00157","1884","68.5"
"fk01085","1898","92.0"
"1457-456X","1844","4.923076923076923"
"1458-0888","1880","4.019607843137255"
"fk09467","1890","16.0"
"fk01113","1905","31.0"
"1457-4314","1863","4.728476821192053"
"1457-4373","1852","3.99"
"1457-4802","1826","4.009708737864078"
"0357-1858","1902","4.1879194630872485"
"fk16638","1903","20.0"
"1458-6622","1883","4.0"
"1458-8595","1899","3.950191570881226"
"fk02699","1904","8.666666666666666"
"fk10137","1898","4.0"
"1458-0543","1898","4.008830022075055"
"fk20090688","1909","20.0"
"1458-8854","1903","16.583333333333332"
"1458-0748","1900","4.016806722689076"
"fk01402","1901","4.0"
"1457-473X","1848","4.0"
"FK09183","1885","8.0"
"fk980659","1902","180.0"
"fk01983","1902","9.428571428571429"
"fk10400","1908","3.986842105263158"
"fk10017","1909","4.0"
"fk03540","1877","22.833333333333332"
"0451-5560","1909","24.0"
"1458-2341","1886","4.0"
"1457-4721","1883","3.970779220779221"
"fk14819","1899","4.013333333333334"
"1457-4616","1901","4.0"
"fk01741","1893","6.166666666666667"
"1458-0721","1891","4.0"
"fk14883","1901","4.0"
"fk01753","1902","69.4"
"fk14860","1908","4.0"
"1458-6622","1895","3.9607843137254903"
"fk09584","1894","20.666666666666668"
"fk01753","1907","50.0"
"0356-2301","1909","3.9864864864864864"
"1458-0896","1901","4.217105263157895"
"fk02671","1908","10.555555555555555"
"0785-398X","1836","4.721153846153846"
"1458-090X","1900","3.3508771929824563"
"1458-8811","1902","23.7"
"fk01910","1909","106.16666666666667"
"0356-066x","1903","8.25"
"1458-8765","1873","4.0"
"fk20090682","1908","111.5"
"fk03540","1890","24.666666666666668"
"FK00458","1903","14.0"
"fk09321","1896","17.545454545454547"
"fk00994","1900","16.0"
"1457-4675","1889","4.016447368421052"
"0356-2751","1905","3.9863945578231292"
"1458-8854","1885","9.0"
"fk20090699","1889","404.0"
"fk10165","1896","4.0"
"1458-6630","1908","3.9731543624161074"
"fk01750","1894","16.0"
"fk01534","1890","37.583333333333336"
"1457-4616","1851","7.851851851851852"
"fk00255","1861","16.0"
"fk01649","1899","8.0"
"0023-1835","1909","28.166666666666668"
"1457-4640","1889","4.728070175438597"
"fk01147","1893","4.166666666666667"
"1458-2546","1896","4.0"
"fk00142","1905","8.0"
"1458-0950","1891","4.0"
"fk00291","1899","21.454545454545453"
"0355-5976","1904","8.313725490196079"
"0356-4479","1908","22.454545454545453"
"1457-4845","1839","1.7843137254901962"
"fk00445","1907","16.833333333333332"
"0358-6294","1893","4.03921568627451"
"fk01753","1894","84.0"
"0023-7353","1906","35.166666666666664"
"fk02765","1899","8.0"
"fk02671","1909","11.555555555555555"
"0356-1860","1898","3.980952380952381"
"fk01365","1877","16.0"
"0356-1135","1908","4.2105263157894735"
"fk10459","1909","3.9863013698630136"
"fk01857","1893","8.125"
"fk20050870","1902","4.0"
"1458-0764","1891","3.981132075471698"
"fk00994","1901","16.0"
"fk35638","1907","114.0"
"1458-0950","1898","4.0"
"fk00994","1882","4.0576923076923075"
"1457-4276","1860","4.0"
"fk00622","1909","23.833333333333332"
"0024-8827","1909","33.15"
"1458-8854","1882","8.0"
"fk01896","1883","16.083333333333332"
"0355-0257","1894","389.6666666666667"
"0367-259X","1894","17.0"
"fk00946","1885","16.0"
"fk00550","1902","10.5"
"fk00153","1909","17.727272727272727"
"0782-6559","1897","3.9805825242718447"
"fk20090707","1893","77.0"
"0356-1690","1908","4.108843537414966"
"1458-0764","1897","4.019230769230769"
"1457-4306","1840","4.03921568627451"
"fk09223","1900","26.0"
"fk01746","1905","11.555555555555555"
"1458-8676","1886","4.009615384615385"
"1458-8870","1904","8.75"
"1458-8854","1895","12.75"
"fk10056","1905","4.023255813953488"
"fk09404","1900","30.333333333333332"
"0355-0621","1904","8.166666666666666"
"1458-2740","1895","3.9741935483870967"
"1457-487X","1881","3.987012987012987"
"0356-0694","1892","16.125"
"fk00780","1897","8.727272727272727"
"fk09513","1902","8.0"
"1457-4810","1900","3.740845070422535"
"1458-8609","1864","4.092592592592593"
"fk01534","1893","35.416666666666664"
"1457-4373","1850","3.99"
"1458-2694","1883","3.9869281045751634"
"1458-2716","1889","4.0"
"fk01391","1899","23.333333333333332"
"fk10400","1909","3.9865771812080535"
"1238-5743","1895","9.666666666666666"
"fk09161","1909","4.4"
"1458-2546","1902","3.986842105263158"
"1457-4799","1818","6.163398692810458"
"0356-2751","1894","4.0"
"0356-0694","1886","16.083333333333332"
"0031-4188","1900","42.333333333333336"
"1457-4675","1895","4.62046204620462"
"fk01534","1896","29.25"
"fk00142","1901","8.0"
"fk980659","1891","109.0"
"1457-425X","1859","4.0"
"0042-6806","1908","25.375"
"fk01309","1850","37.166666666666664"
"fk00994","1891","16.0"
"1458-073X","1893","4.0"
"1458-2325","1877","4.173913043478261"
"fk00462","1909","22.25"
"fk01215","1900","11.4"
"0785-398X","1856","4.855421686746988"
"fk20050863","1893","8.0"
"fk02751","1909","19.106382978723403"
"0358-6294","1879","3.25"
"fk14802","1898","4.0"
"1457-439X","1865","4.009868421052632"
"fk09335","1908","4.0"
"0355-0621","1906","16.166666666666668"
"fk10073","1908","4.0"
"1457-4314","1882","4.371710526315789"
"1457-4284","1873","4.0"
"1458-8803","1885","4.150943396226415"
"1458-8668","1894","12.166666666666666"
"fk01238","1906","15.333333333333334"
"fk09321","1898","17.0"
"1458-2341","1888","3.942857142857143"
"1457-4438","1898","4.0"
"1458-2546","1887","4.076923076923077"
"1458-6525","1870","8.0"
"fk20050906","1900","4.0"
"fk20090750","1874","8.333333333333334"
"fk20090212","1899","4.0"
"0013-6522","1902","16.0"
"fk01346","1893","8.0"
"0355-0257","1907","526.0"
"0356-5653","1882","4.0"
"1458-2708","1888","4.0"
"1458-0543","1900","3.9783549783549783"
"fk09484","1879","15.916666666666666"
"fk03927","1890","68.5"
"fk00874","1905","16.25"
"fk01516","1909","5.375"
"fk09569","1893","16.25"
"1458-2279","1894","3.980392156862745"
"fk01738","1828","50.333333333333336"
"0357-1858","1906","4.086092715231788"
"fk00935","1865","4.03921568627451"
"fk01516","1898","4.333333333333333"
"fk01732","1891","4.9"
"fk02360","1878","8.115384615384615"
"fk01767","1905","8.0"
"fk00042","1899","16.0"
"fk02360","1876","8.115384615384615"
"1458-8803","1888","4.0"
"0015-3125","1895","25.0"
"fk03945","1893","12.125"
"fk09451","1907","14.636363636363637"
"fk20050900","1876","3.0"
"fk00954","1908","36.0"
"1457-4616","1886","4.026315789473684"
"1458-8560","1896","3.0"
"fk00252","1890","8.0"
"fk14799","1906","4.0"
"fk14860","1907","3.986754966887417"
"fk09183","1866","16.0"
"1457-4632","1896","4.033557046979865"
"fk10358","1909","4.0"
"1458-0713","1900","4.0"
"1457-4810","1885","4.044943820224719"
"fk01113","1907","36.0"
"1458-6509","1892","3.9426751592356686"
"fk04049","1902","22.6"
"fk20050862","1904","4.0"
"1458-2686","1866","4.0"
"1458-2627","1888","3.9935064935064934"
"1457-4292","1885","4.00990099009901"
"fk20090756","1897","11.333333333333334"
"1457-4314","1899","4.204620462046204"
"fk09183","1873","8.0"
"1458-0950","1896","4.0"
"fk10373","1905","4.1063829787234045"
"fk01741","1883","7.8"
"fk01750","1901","17.454545454545453"
"fk980659","1900","169.0"
"1457-4705","1863","4.0"
"fk00907","1900","16.3"
"0356-4487","1899","17.90909090909091"
"fk00010","1893","9.238095238095237"
"0785-398X","1880","4.002808988764045"
"fk02216","1901","36.25"
"1457-4500","1849","3.980769230769231"
"fk03540","1862","21.166666666666668"
"0355-5976","1898","8.156862745098039"
"0039-5528","1895","26.0"
"0356-0724","1908","11.320224719101123"
"1458-2708","1887","4.009756097560976"
"fk01857","1901","16.0"
"1457-4721","1909","8.532307692307691"
"1458-6584","1909","4.0088888888888885"
"fk20050852","1905","10.0"
"fk00221","1896","21.3"
