"ISSN","PAANIMEKE","AINYLEISMAARE","JULKAISUMAA","KIELI","KOKO","KORKEUS_CM","LEVEYS_CM","KUSTANTAJA","TEKSTITYYPPI","start_date","end_date","start_year","end_year","KAUPUNKI_NORM","levikki_1800","levikki_1801","levikki_1802","levikki_1803","levikki_1804","levikki_1805","levikki_1806","levikki_1807","levikki_1808","levikki_1809","levikki_1810","levikki_1811","levikki_1812","levikki_1813","levikki_1814","levikki_1815","levikki_1816","levikki_1817","levikki_1818","levikki_1819","levikki_1820","levikki_1821","levikki_1822","levikki_1823","levikki_1824","levikki_1825","levikki_1826","levikki_1827","levikki_1828","levikki_1829","levikki_1830","levikki_1831","levikki_1832","levikki_1833","levikki_1834","levikki_1835","levikki_1836","levikki_1837","levikki_1838","levikki_1839","levikki_1840","levikki_1841","levikki_1842","levikki_1843","levikki_1844","levikki_1845","levikki_1846","levikki_1847","levikki_1848","levikki_1849","levikki_1850","levikki_1851","levikki_1852","levikki_1853","levikki_1854","levikki_1855","levikki_1856","levikki_1857","levikki_1858","levikki_1859","levikki_1860"
"1457-4586","Sanan Saattaja Wiipurista","SAN","FI","fin","A5",25,19,"Johanna Cedervaller & Son","FRA","1833-01-05","1841-12-18",1833,1841,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,201,365,242,,,,"193tap","138tap",,,,,,,,,,,,,,,,,,,
"1457-4616","Sanomia Turusta","SAN","FI","fin","A2-A3",44,30,"G. W. Wilen","FAN","1850-12-24",1903-09-01,1850,1903,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"631pt","404pt",623,"955pt","1233pt","1803pt","1137pt","1126pt","1058pt",1195
"1457-4624","Suomalainen","SAN","FI","fin","A4",,,"Carl Axel Gottlund",,"1846-01-31","1846-06-30",1846,1846,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160ca",,,,,,,,,,,,,,
"1457-4667","Suomen Julkisia Sanomia","SAN","FI","fin","A4",39,25,"Senaatin Kansliatoimikunta","FRA","1856-11-10","1865-12-28",1856,1865,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2692pt","591pt","529pt","526pt"
"1457-4683","Suomenkieliset Tieto-Sanomat","SAN","FI","fin","A5",18,11,"Frenckellin Kirjapaino","FRA","1775-09-01","1776-12-31",1775,1776,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4683","Suomenkieliset Tieto-Sanomat","SAN","FI","fin","A5",18,11,"Frenckellin Kirjapaino","FRA","1775-09-01","1776-12-31",1775,1776,"Mynämäki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4705","Suometar","SAN","FI","fin","A4",36,25,"Fredrik PolÃ©n, A. Nylander","FRA","1847-01-12","1866-12-31",1847,1866,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,"234pt","320pt",410,"95pt","248pt","630pt","1371pt","3863pt","4600pt","1628pt","1660pt","1727pt",1240
"1457-473X","Suomi","SAN","FI","fin","A4",30,22,"Carl Axel Gottlund","ANT","1847-01-31","1849-09-08",1847,1849,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,85,"45ca",,,,,,,,,,,
"1457-4748","Tidningar ifrån Helsingfors","SAN","FI","swe","A4",22,18,"J. C. Frenckell","ANT","1829-01-02","1831-12-30",1829,1831,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,113,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4756","Tidningar Utgifne af et Sällskap i Åbo","SAN","FI","swe","A5",16,9,"Aurora-Seura","FRA","1771-01-15","1785-05-26",1771,1785,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4888","Turun Wiikko-Sanomat","SAN","FI","fin","A5",21,16,"Christian Ludvig Hjelt","FRA","1820-01-08","1831-12-31",1820,1831,"Turku",,,,,,,,,,,,,,,,,,,,,1625,"970pt","739pt","535ca",332,"319pt","279pt",249,,"115pt","142pt",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0356-1844","Vasabladet","SAN","FI","swe","A2",56,40,"Ab Vasabladet","ANT","1856-05-07",2020-01-01,1856,2020,"Vaasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155ca","155ca",280,"216ca","153tap"
"1457-442X","Wasa Tidning","SAN","FI","swe","A4",25,21,"C. G. Wolff","ANT","1839-01-01","1847-12-24",1839,1847,"Vaasa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,"305ta","308ta",343,"335pt","288pt",283,"298pt","258ta",,,,,,,,,,,,,
"1457-4837","Wiborg","SAN","FI","swe","A3",42,30,"Viipurilaisten kauppiaiden muodostama oy","ANT","1855-01-02","1861-12-31",1855,1861,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,1409,1486,1131,976,667
"1457-4845","Wiborgs Annonce Blad","SAN","FI","swe","A5",25,20,"Johanna Cedervaller & Son","AFR","1837-01-07","1849-01-03",1837,1849,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217ca","217ca","217ca",,,"138ca","138ca","138ca",,,,"138ca",,,,,,,,,,,,
"1457-4853","Wiborgs Tidning","SAN","FI","swe","A4",30,23,"Jakob Gabriel Leistenius","ANT","1854-02-01","1855-03-31",1854,1855,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,"137ca",,,,,
"1457-4861","Wiburgs Mancherley","SAN","FI","ger","A5",19,11,"Kirjanpainaja Anders Cedervaller",,"1821-01-01","1821-12-31",1821,1821,"Viipuri",,,,,,,,,,,,,,,,,,,,,,"15ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4578","Wiburgs Wochenblatt","SAN","FI","ger","A5",22,17,"Kirjanpainaja Anders Cedervaller",,"1823-01-01","1832-12-29",1823,1832,"Viipuri",,,,,,,,,,,,,,,,,,,,,,,,"14ca","14pt","10pt","13pt","11pt","9pt","5pt","7pt","10pt","10ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,
