ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0359-3967,01.01.1983,31.12.1983,7928,
0359-3967,01.01.1982,31.12.1982,4534,
0784-0381,01.01.1995,31.12.1995,5960,
0784-0381,05.11.1986,31.12.1994,4638,
0788-2556,01.01.1997,31.12.1997,36000,
0788-2556,01.01.1996,31.12.1996,41207,
0788-2556,01.01.1995,31.12.1995,52408,
0788-2556,01.01.1994,31.12.1994,48104,
0788-2556,05.11.1989,31.12.1993,65000,
1235-3930,01.01.1994,,10314,
1235-3930,27.06.1991,31.12.1993,6921,
1235-6085,01.01.1998,31.12.1999,22840,
1235-6085,01.01.1989,31.12.1998,30000,
1235-6085,01.01.1984,31.12.1988,21000,
1235-6085,01.05.1980,31.12.1983,16000,
fk35083,31.10.1972,,25000,
fk35083,17.01.1971,30.10.1972,19000,
fk35083,10.11.1969,16.01.1971,15000,
1239-6265,01.01.1995,31.12.1996,41150,
1239-6265,01.01.1994,31.12.1994,39000,
1239-6265,01.01.1987,31.12.1993,38000,
1239-6265,01.01.1982,31.12.1986,37000,
1239-6265,01.01.1979,31.12.1981,31000,
1239-6265,01.01.1978,31.12.1978,30000,
1239-6265,01.01.1976,31.12.1977,28000,
1239-6265,30.01.1974,31.12.1975,25000,
fk16225,01.01.1996,31.12.1997,3400,
fk16225,01.01.1994,31.12.1995,3404,
fk16225,01.01.1991,31.12.1993,3428,
fk16225,01.01.1990,31.12.1990,3300,
fk16225,14.03.1985,31.12.1989,3000,
0359-3002,01.01.1995,31.12.1996,3274,
0359-3002,01.01.1992,31.12.1994,3406,
0359-3002,01.01.1990,31.12.1991,3532,
0359-3002,01.01.1988,31.12.1989,3525,
0359-3002,01.01.1986,31.12.1987,3429,
0359-3002,01.01.1984,31.12.1985,3331,
0359-3002,01.01.1982,31.12.1983,3211,
0359-3002,01.01.1980,31.12.1981,3155,
0359-3002,01.01.1978,31.12.1979,2972,
0359-3002,01.01.1976,31.12.1977,2855,
0359-3002,01.01.1975,31.12.1975,2801,
0359-3002,01.01.1973,31.12.1973,2682,
0359-3002,01.01.1971,31.12.1971,2372,
fk30079,01.01.1974,,33000,
fk30079,01.01.1973,31.12.1973,32000,
fk30079,01.01.1972,31.12.1972,30600,
fk30079,01.01.1971,31.12.1971,29200,
fk30079,01.01.1970,31.12.1970,28800,
fk30079,05.03.1969,31.12.1969,25700,
0782-6400,01.01.1996,31.12.1996,56000,
0782-6400,01.01.1995,31.12.1995,54400,
0782-6400,01.01.1994,31.12.1994,54100,
0782-6400,01.01.1993,31.12.1993,52800,
0782-6400,01.01.1990,31.12.1992,48470,
0782-6400,01.01.1988,31.12.1989,47150,
0782-6400,03.04.1986,31.12.1987,43646,
0782-6400,01.01.1985,02.04.1986,45470,
0782-6400,06.06.1984,31.12.1984,44850,
0782-6400,16.09.1982,05.06.1984,44100,
0782-6400,26.02.1981,15.09.1982,44500,
0782-6400,01.01.1980,25.02.1981,41700,
0782-6400,01.01.1979,31.12.1979,41450,
0782-6400,01.01.1978,31.12.1978,39500,
0782-6400,01.01.1977,31.12.1977,38500,
0782-6400,01.01.1976,31.12.1976,36500,
0782-6400,01.01.1975,31.12.1975,35000,
0782-6400,25.04.1974,31.12.1974,33000,
0782-6494,04.01.1985,30.12.1995,30000,
0782-6494,03.01.1984,03.01.1985,29000,
0782-6494,05.01.1982,02.01.1984,28000,
0782-6494,06.04.1974,04.01.1982,27000,
0782-6044,01.01.1995,31.12.1998,22500,
0782-5609,01.01.1993,31.12.1994,3378,
0782-5609,01.01.1992,31.12.1992,3382,
0782-5609,01.01.1990,31.12.1991,3186,
0782-5609,01.01.1988,31.12.1989,3089,
0782-5609,01.01.1985,31.12.1985,2915,
0782-5609,01.01.1983,31.12.1983,2783,
0782-5609,01.01.1982,31.12.1981,2614,
0782-5609,01.01.1980,31.12.1980,2382,
fk22786,01.12.1993,06.05.1998,12000,
1236-3405,04.11.1992,,5500,
0786-1133,01.01.1996,,26860,25090
0786-1133,01.01.1995,31.12.1995,26800,28350
0786-1133,01.01.1992,31.12.1994,26000,21000
0786-1133,01.01.1990,02.01.1993,33000,20000
0786-1133,01.01.1988,31.12.1989,32000,15000
0786-1133,01.01.1987,31.12.1987,33000,14000
0786-1133,01.01.1986,31.12.1986,32000,13000
0786-1133,19.02.1985,31.12.1985,30000,
1455-1489,01.01.1996,31.12.1996,9500,
1455-1489,01.01.1995,31.12.1995,11500,
1455-1489,17.09.1992,31.12.1994,10500,
1237-0045,16.12.1992,,10000,
0358-8483,01.01.1997,31.12.1999,60100,
0358-8483,01.01.1996,31.12.1996,58000,
0358-8483,01.01.1987,31.12.1995,60100,
0358-8483,01.01.1983,31.12.1986,57000,
0358-8483,15.10.1981,31.12.1982,47000,
0357-6906,01.01.1998,31.12.1999,4831,
0357-6906,01.01.1996,31.12.1997,5219,
0357-6906,16.12.1993,30.12.1996,6512,
0357-6906,02.08.1990,24.06.1992,6574,
0357-6906,31.05.1988,01.08.1990,6542,
0357-6906,01.07.1986,30.05.1988,6533,
0357-6906,27.06.1985,30.06.1986,6501,
0357-6906,17.05.1984,26.06.1985,6475,
0357-6906,08.06.1983,16.05.1984,6102,
0357-6906,23.06.1982,07.06.1983,5682,
0357-6906,30.12.1981,22.06.1982,5353,
0357-6906,20.09.1963,29.12.1981,5052,
0358-1683,01.01.1997,31.12.1997,3748,
0358-1683,01.01.1996,31.12.1996,3870,
0358-1683,01.01.1995,31.12.1995,3739,
0358-1683,01.01.1994,31.12.1994,3577,
0358-1683,01.01.1993,31.12.1993,3491,
0358-1683,01.01.1992,31.12.1992,3291,
0358-1683,01.01.1991,31.12.1991,3453,
0358-1683,01.01.1990,31.12.1990,3417,
0358-1683,01.01.1989,31.12.1989,3101,
0358-1683,01.01.1988,31.12.1988,2972,
0358-1683,01.01.1987,31.12.1987,2912,
0358-1683,01.01.1986,31.12.1986,2905,
0358-1683,01.01.1985,31.12.1985,2795,
0358-1683,01.01.1984,31.12.1984,2755,
0358-1683,01.01.1983,31.12.1983,2654,
0358-1683,01.01.1982,31.12.1982,2275,
0358-1683,03.07.1980,31.12.1981,2017,
0780-427X,01.01.1994,20.01.2005,50000,
0780-427X,01.01.1993,31.12.1993,48800,
0780-427X,01.01.1992,31.12.1992,48100,
0780-427X,01.01.1991,31.12.1991,46400,
0780-427X,01.01.1990,31.12.1990,41000,
0780-427X,01.01.1989,31.12.1989,39800,
0780-427X,01.01.1988,31.12.1988,26000,
0780-427X,01.01.1987,31.12.1987,25000,
0780-427X,01.01.1986,31.12.1986,24000,
0780-427X,01.01.1985,31.12.1985,23700,
0780-427X,01.01.1984,31.12.1984,22400,
0780-427X,01.01.1983,31.12.1983,22000,
0780-427X,04.11.1982,31.12.1982,21000,
0788-2564,01.01.1996,,2100,
0788-2564,01.01.1995,31.12.1995,2500,
0788-2564,03.10.1989,31.12.1994,2393,
1239-2251,01.01.1996,31.12.1996,2752,
1239-2251,01.01.1991,31.12.1995,3666,
1239-2251,01.01.1989,31.12.1990,3813,
1239-2251,01.01.1987,31.12.1988,3647,
1239-2251,01.01.1985,31.12.1986,3345,
1239-2251,01.01.1984,31.12.1984,3300,
1239-2251,11.12.1980,31.12.1983,2729,
fk17272,01.01.1995,26.09.1999,27000,
fk17272,01.01.1994,31.12.1994,26300,
fk17272,01.01.1993,31.12.1993,25000,
fk17272,28.04.1991,31.12.1992,27300,
0782-6575,01.01.1997,31.12.1997,4000,
0782-6575,01.01.1996,31.12.1996,4400,
0782-6575,01.01.1994,31.12.1995,5455,
0782-6575,01.01.1992,31.12.1993,5787,
0782-6575,01.01.1990,31.12.1991,5911,
0782-6575,01.01.1988,31.12.1989,5826,
0782-6575,01.01.1987,31.12.1987,5693,
0782-6575,01.01.1985,31.12.1986,5369,
0782-6575,12.12.1973,31.12.1984,4851,
0788-3374,02.06.1993,,22000,
0788-3374,25.04.1990,01.06.1993,14000,
1457-2214,01.01.1997,31.12.1997,12800,6100
1457-2214,01.01.1996,31.12.1996,10200,6100
1457-2214,24.02.1994,31.12.1995,10700,
0782-5374,01.01.1985,,6951,
0782-5374,01.01.1983,31.12.1984,6673,
0782-5374,01.01.1981,31.12.1982,6203,
0782-5374,01.01.1979,31.12.1980,5972,
0782-5374,01.01.1976,31.12.1978,5878,
0782-5374,01.01.1975,31.12.1975,5662,
0782-5374,01.01.1974,31.12.1974,5366,
0782-5374,01.01.1972,31.12.1973,5659,
0782-5374,01.01.1970,31.12.1971,5265,
0782-5374,27.09.1951,31.12.1969,5578,
fk35127,15.03.1978,,5835,
fk28451,01.01.1971,,12500,
fk28451,15.09.1970,31.12.1970,10500,
fk15581,01.01.1996,31.12.1998,15000,
fk15581,01.10.1972,31.12.1995,14000,
fk22775,01.01.1995,,9000,
fk22775,06.05.1993,31.12.1994,5400,
1235-0141,20.12.1991,,2000,
1236-6609,01.01.1997,31.12.1998,6232,
1236-6609,01.01.1995,31.12.1996,6446,
1236-6609,01.01.1993,31.12.1994,6974,
1236-6609,01.01.1991,31.12.1992,7293,
1236-6609,01.01.1989,31.12.1990,7122,
1236-6609,01.01.1987,31.12.1988,7103,
1236-6609,01.05.1986,31.12.1986,7086,
0356-2034,12.12.1974,,11000,
0359-632X,07.06.1995,31.12.1995,20000,
0359-632X,02.01.1993,02.01.1996,18247,
0359-632X,06.01.1991,01.01.1993,18036,
0359-632X,01.01.1990,05.01.1991,17231,
0359-632X,03.01.1988,31.12.1989,17089,
0359-632X,09.10.1977,02.01.1988,15861,
1235-1040,30.01.1992,,10512,
0359-9523,01.01.1995,31.12.1997,3040,
0359-9523,01.01.1993,31.12.1994,3002,
0359-9523,01.01.1991,31.12.1992,2945,
0359-9523,01.01.1989,31.12.1990,2851,
0359-9523,01.01.1987,31.12.1988,2691,
0359-9523,01.01.1985,31.12.1986,2302,
0359-9523,01.12.1982,31.12.1984,1806,
2323-7929,01.01.1991,31.12.1991,25500,
2323-7929,01.01.1979,31.12.1990,25000,
2323-7929,20.04.1978,31.12.1978,15000,
0783-2249,01.01.1991,,14700,
0783-2249,01.01.1989,31.12.1990,11884,
0783-2249,01.01.1988,31.12.1988,16130,
0783-2249,09.10.1986,31.12.1987,11247,
0780-2110,28.11.1974,31.12.1996,5089,
fk15939,27.11.1978,,8000,
0780-0657,01.01.1996,31.12.1996,26000,
0780-0657,01.01.1993,31.12.1995,20100,
0780-0657,01.01.1987,31.12.1992,13150,
0780-0657,09.08.1982,31.12.1986,10500,
1237-167X,01.09.1993,31.12.1997,5675,
0786-6585,01.01.1994,31.12.1994,2527,
0786-6585,24.01.1985,31.12.1993,2332,
0782-5676,01.01.1996,31.12.1996,5858,
0782-5676,01.01.1995,31.12.1995,5875,
0782-5676,01.01.1994,31.12.1994,5922,
0782-5676,01.01.1992,31.12.1993,5843,
0782-5676,01.01.1991,31.12.1991,5748,
0782-5676,01.01.1990,31.12.1990,5640,
0782-5676,01.01.1989,31.12.1989,5466,
0782-5676,01.01.1988,31.12.1988,5292,
0782-5676,01.01.1987,31.12.1987,5146,
0782-5676,01.01.1986,31.12.1986,4939,
0782-5676,01.01.1985,31.12.1985,4748,
0782-5676,01.01.1984,31.12.1984,4521,
0782-5676,01.01.1983,31.12.1983,4411,
0782-5676,01.01.1982,31.12.1982,4143,
0782-5676,01.01.1981,31.12.1981,3821,
0782-5676,01.01.1980,31.12.1980,3637,
0782-5676,01.01.1979,31.12.1979,3296,
0782-5676,01.01.1978,31.12.1978,3035,
0782-5676,01.01.1977,31.12.1977,2884,
0782-5676,01.01.1975,31.12.1976,2701,
0782-5676,01.10.1973,31.12.1973,3055,
0786-857X,01.01.1994,31.12.1994,21000,
0786-857X,01.01.1991,31.12.1993,14500,
0786-857X,17.08.1989,31.12.1990,12500,
1237-6868,30.12.1997,31.12.2000,21000,
fk14419,01.01.1999,31.12.1999,21500,
fk14419,01.01.1996,31.12.1998,21000,
fk14419,01.01.1995,31.12.1995,20500,
fk14419,01.01.1993,31.12.1994,20300,
fk14419,20.06.1979,31.12.1992,19038,
0781-5026,01.01.1997,,22000,
0781-5026,01.01.1985,31.12.1996,17000,
0781-5026,01.01.1984,31.12.1984,15750,
0781-5026,10.11.1983,31.12.1983,15000,
1236-0619,01.01.1993,31.12.1993,22000,
1236-0619,01.01.1992,31.12.1992,24000,
1236-0619,01.01.1991,31.12.1991,21381,
1236-0619,01.01.1990,31.12.1990,22000,
1236-0619,01.01.1989,31.12.1989,20500,
1236-0619,01.01.1988,31.12.1988,20300,
1236-0619,01.01.1987,31.12.1987,20000,
1236-0619,08.01.1986,31.12.1986,17000,
0786-3519,01.01.1993,31.12.1993,4033,
0786-3519,01.12.1988,31.12.1992,4156,
fk22770,06.01.1994,,12000,
fk22770,22.04.1993,05.01.1994,11368,
0358-5476,02.04.1994,31.12.1998,47500,
0358-5476,04.01.1989,01.04.1994,46000,
0358-5476,07.01.1987,03.01.1989,45000,
0358-5476,08.01.1986,06.01.1987,47500,
0358-5476,04.01.1984,07.01.1986,44000,
0358-5476,05.01.1983,03.01.1984,43000,
0358-5476,10.01.1979,04.01.1983,42500,
0358-5476,03.01.1978,09.01.1979,37500,
0358-5476,16.02.1974,02.01.1978,24000,
0782-5943,01.01.1997,31.12.1998,4457,
0782-5943,01.01.1995,31.12.1996,4496,
0782-5943,01.01.1992,31.12.1994,4927,
0782-5943,01.01.1991,31.12.1991,4377,
0784-4220,01.01.1999,31.12.1999,23000,
0784-4220,01.01.1996,31.12.1998,22385,
0784-4220,01.01.1995,31.12.1995,21607,
0784-4220,01.01.1987,31.12.1994,20500,
0784-4220,28.12.1985,31.12.1986,20000,
1235-0788,03.06.1991,,50150,
1236-7400,01.01.1998,31.12.1999,4397,
1236-7400,05.01.1996,31.12.1997,4566,
1236-7400,05.01.1994,04.01.1996,4920,
1236-7400,02.04.1993,04.01.1994,5150,
fk15549,01.01.1993,,7200,
fk15549,01.01.1990,31.12.1992,6400,
fk15549,29.03.1982,31.12.1989,5000,
fk15135,01.01.1999,31.12.2000,23200,
fk15135,01.01.1998,31.12.1998,22000,
fk15135,01.01.1995,31.12.1997,27700,
fk15135,06.06.1993,05.01.1995,23000,
0782-5765,01.01.1996,31.12.1999,6647,
0782-5765,01.01.1995,31.12.1995,6955,
0782-5765,01.01.1993,31.12.1994,7468,
0782-5765,01.01.1991,31.12.1992,7638,
0782-5765,01.01.1990,31.12.1990,7524,
0782-5765,01.01.1989,31.12.1989,7302,
0782-582X,01.01.1996,31.12.1997,4887,
0782-582X,01.01.1994,31.12.1995,4862,
0782-582X,01.01.1992,31.12.1993,5091,
0782-582X,01.01.1990,31.12.1991,5213,
0782-582X,01.01.1988,31.12.1989,5282,
0782-582X,01.01.1986,31.12.1987,5048,
0782-582X,01.01.1984,31.12.1985,4772,
0782-582X,01.01.1982,31.12.1983,4383,
0782-582X,01.01.1980,31.12.1981,4255,
0782-582X,01.01.1978,31.12.1979,4103,
0782-582X,01.01.1976,31.12.1977,5507,
0782-582X,15.02.1974,31.12.1975,4402,
0356-1410,01.01.1995,31.12.1996,5235,
0356-1410,01.01.1993,31.12.1994,5315,
0356-1410,01.01.1991,31.12.1992,5467,
0356-1410,01.01.1990,31.12.1990,5449,
0356-1410,01.01.1989,31.12.1989,5326,
0356-1410,01.01.1988,31.12.1988,5197,
0356-1410,01.01.1987,31.12.1987,5038,
0356-1410,01.01.1986,31.12.1986,4910,
0356-1410,01.01.1985,31.12.1985,4748,
0356-1410,01.01.1984,31.12.1984,4596,
0356-1410,01.01.1982,31.12.1983,4477,
0356-1410,01.01.1981,31.12.1981,4194,
0356-1410,01.01.1980,31.12.1980,4102,
0356-1410,01.01.1979,31.12.1979,3927,
0356-1410,01.01.1978,31.12.1978,3871,
0356-1410,01.01.1977,31.12.1977,3611,
0356-1410,01.01.1976,31.12.1976,3568,
0356-1410,01.01.1974,31.12.1975,3110,
0356-1410,01.01.1973,31.12.1973,2995,
0356-1410,06.01.1971,31.12.1972,2545,
0782-4920,01.01.1994,,3508,
0782-4920,01.01.1992,31.12.1993,3673,
0782-4920,01.01.1990,31.12.1991,3702,
0782-4920,01.01.1987,31.12.1989,3543,
0782-4920,01.01.1984,31.12.1986,3195,
0782-4920,19.12.1978,31.12.1983,3041,
0782-601X,01.01.1995,31.12.1996,5459,
0782-601X,01.01.1994,31.12.1994,5720,
0782-601X,01.01.1991,31.12.1993,5793,
0782-601X,01.01.1989,31.12.1990,5623,
0782-601X,01.01.1987,31.12.1988,5492,
0782-601X,01.01.1985,31.12.1986,5343,
0782-601X,01.01.1983,31.12.1983,5154,
0782-601X,01.01.1981,31.12.1981,4808,
1237-8674,20.11.1994,31.12.2000,35000,
0357-8461,01.01.1991,31.12.1991,25500,
0357-8461,01.01.1990,31.12.1990,27745,
0357-8461,01.01.1986,31.12.1989,27000,
0357-8461,01.01.1985,31.12.1985,26000,
0357-8461,01.01.1984,31.12.1984,27000,
0357-8461,01.01.1983,31.12.1983,23000,
0357-8461,01.01.1982,31.12.1982,27000,
0357-8461,01.01.1981,31.12.1981,24000,
0357-8461,04.01.1980,31.12.1980,21000,
1237-1696,20.08.1992,31.12.1994,37000,
fk14356,01.01.1997,,96000,
fk14356,25.02.1996,31.12.1996,90990,
fk14356,16.02.1994,24.02.1996,88528,
0782-5773,01.01.1996,31.12.1998,7173,
0782-5773,01.01.1994,31.12.1995,7462,
0782-5773,01.01.1992,31.12.1993,7825,
0782-5773,01.01.1990,31.12.1991,8085,
0782-5773,01.01.1988,31.12.1989,7976,
0782-5773,01.01.1986,31.12.1987,7787,
0782-5773,01.01.1984,31.12.1985,7654,
0782-5773,01.01.1982,31.12.1983,7605,
1239-4343,02.02.1996,31.12.1996,4835,
fk14357,01.01.1998,,103500,
fk14357,01.01.1997,31.12.1997,67000,
fk14357,01.01.1996,31.12.1996,66500,
fk14357,16.02.1994,31.12.1995,62450,
fk35057,25.04.1997,31.10.2004,100000,
0780-5063,18.02.1983,31.12.1996,1650,
0782-5668,01.01.1995,31.12.1997,2500,
0782-5668,01.11.1949,31.12.1994,2735,
0782-5617,01.01.1997,31.12.1998,5200,
0782-5617,01.01.1996,31.12.1996,5264,
0782-5617,01.01.1995,31.12.1995,5263,
0782-5617,01.01.1993,31.12.1994,5337,
0782-5617,01.01.1991,31.12.1992,5641,
0782-5617,01.01.1989,31.12.1990,5625,
0782-5617,01.01.1987,31.12.1988,5693,
0782-5617,01.01.1985,31.12.1985,5344,
0782-5617,01.01.1983,31.12.1983,4567,
0782-5617,01.01.1981,31.12.1981,4105,
0782-5951,01.01.1995,30.12.1997,9898,
0782-5951,01.01.1993,31.12.1994,10070,
0782-5951,01.01.1991,31.12.1992,10254,
0782-5951,01.01.1974,31.12.1990,10008,
0782-5951,01.01.1964,31.12.1973,9000,
0782-5951,01.01.1953,31.12.1963,8000,
0782-5951,01.01.1939,31.12.1939,4250,
fk38533,01.01.1990,,61375,
fk38533,01.01.1988,31.12.1989,56395,
fk38533,15.02.1987,31.12.1987,55300,
0782-1158,01.01.1996,,31000,
0782-1158,26.01.1994,31.12.1995,33500,
0782-1158,01.01.1993,25.01.1994,18700,
0782-1158,09.01.1992,31.12.1992,17400,
0782-1158,01.01.1987,08.01.1992,13500,
0782-1158,15.12.1984,31.12.1986,13250,
0355-869X,13.03.1970,,2500,
fk06902,01.01.1996,31.12.1999,6270,
fk06902,01.01.1994,31.12.1995,6866,
fk06902,01.01.1992,31.12.1993,6633,
fk06902,01.01.1991,31.12.1991,5195,
fk06902,01.01.1987,31.12.1990,6173,
fk06902,01.01.1981,31.12.1986,6086,
fk06902,01.11.1977,31.12.1980,4753,
fk28453,10.08.1977,31.12.1977,28000,
0789-0230,14.11.1990,,11000,
1238-5573,11.01.1995,,11000,
fk17322,01.01.1996,31.12.1999,13100,
fk17322,01.01.1995,31.12.1995,12600,
fk17322,01.01.1992,31.12.1994,14500,
fk17322,01.01.1990,31.12.1991,13600,
fk17322,17.09.1980,31.12.1989,11020,
fk29445,01.01.1997,17.12.1997,39800,
fk29445,10.01.1996,31.12.1996,39894,
fk29445,06.12.1995,09.01.1996,23650,
fk29445,15.03.1995,05.12.1995,10000,
1236-4932,01.01.1996,31.12.1996,2800,
1236-4932,01.01.1994,31.12.1995,3100,
1236-4932,07.11.1990,31.12.1993,2887,
1236-4932,16.11.1988,06.11.1990,2818,
1236-4932,01.01.1985,31.12.1985,2700,
fk28452,13.09.1978,,51510,
fk38536,20.08.1978,,41040,
fk38537,24.03.1991,,49500,
fk38537,01.01.1990,23.03.1991,47730,
fk38537,01.01.1989,31.12.1989,42955,
fk38537,01.01.1988,31.12.1988,42560,
fk38537,15.02.1987,31.12.1987,42130,
fk38538,01.01.1993,,49150,
fk38538,04.09.1991,31.12.1992,47730,
fk14358,01.01.1999,,95800,
fk14358,01.01.1996,31.12.1998,49950,
fk14358,01.01.1995,31.12.1995,49609,
fk14358,16.02.1994,31.12.1994,49669,
fk38531,01.01.1990,,57665,
fk38531,01.01.1989,31.12.1989,53655,
fk38531,01.01.1988,31.12.1988,50650,
fk38531,15.02.1987,31.12.1987,51510,
fk38530,01.01.1993,,61000,
fk38530,04.09.1991,31.12.1992,57665,
fk14360,01.01.1996,30.12.1998,62500,
fk14360,01.01.1995,31.12.1995,61924,
fk14360,16.02.1994,31.12.1994,61727,
fk16230,01.01.1995,,6600,
fk16230,01.01.1993,31.12.1994,3093,
fk16230,01.01.1991,31.12.1992,4116,
fk16230,01.01.1989,31.12.1990,4860,
fk16230,01.01.1988,31.12.1988,4491,
fk16230,01.01.1986,31.12.1987,4259,
fk16230,01.01.1985,31.12.1985,3914,
fk16230,01.01.1983,31.12.1984,3445,
fk16230,01.01.1981,31.12.1982,2914,
fk16230,01.01.1979,31.12.1980,2401,
fk16230,01.01.1977,31.12.1978,2454,
fk16230,01.01.1973,31.12.1976,1633,
fk16230,07.01.1967,31.12.1972,1508,
1236-8865,01.01.1996,31.12.1996,5389,
1236-8865,01.01.1995,31.12.1995,5571,
1236-8865,01.01.1994,31.12.1994,5656,
1236-8865,01.01.1992,31.12.1993,5572,
1236-8865,01.01.1991,31.12.1991,5507,
1236-8865,01.01.1989,31.12.1990,5330,
1236-8865,01.01.1987,31.12.1988,5156,
1236-8865,01.01.1986,31.12.1986,5125,
1236-8865,01.01.1984,31.12.1985,4854,
1236-8865,01.01.1982,31.12.1983,4633,
1236-8865,28.11.1968,31.12.1981,4469,
fk22782,01.01.1997,31.12.1998,21500,
fk22782,04.01.1996,31.12.1996,20300,
fk22782,23.01.1993,03.01.1996,17300,15000
fk38534,04.09.1991,,,69863
fk14359,16.02.1994,30.12.1998,69863,
0356-3642,01.01.1998,31.12.2003,43500,
0356-3642,01.01.1995,31.12.1997,43000,
0356-3642,10.01.1990,31.12.1994,40000,
0356-3642,03.02.1988,09.01.1990,38000,
0356-3642,01.04.1987,02.02.1988,37600,
0356-3642,22.01.1986,31.03.1987,35000,
0356-3642,01.01.1985,21.01.1986,37875,
0356-3642,01.01.1983,31.12.1984,37000,
0356-3642,06.10.1972,31.12.1982,28328,
0785-2053,01.01.1997,31.12.1997,36200,
0785-2053,01.01.1994,31.12.1996,35700,
0785-2053,01.01.1991,31.12.1993,35500,
0785-2053,01.01.1990,31.12.1990,29250,
0785-2053,01.01.1989,31.12.1989,34000,
0785-2053,01.01.1987,31.12.1988,39785,
0785-2053,01.01.1985,31.12.1986,32145,
0785-2053,01.01.1981,31.12.1984,28500,
0785-2053,01.01.1980,31.12.1980,26000,
0785-2053,01.02.1979,31.12.1979,25000,
1455-6308,01.01.1999,31.12.1999,18331,
1455-6308,18.11.1997,31.12.1998,30000,
0782-5935,01.01.1996,31.12.1997,3608,
0782-5935,01.01.1994,31.12.1995,3708,
0782-5935,01.01.1992,31.12.1993,3755,
0782-5935,01.01.1990,31.12.1991,3729,
0782-5935,01.01.1988,31.12.1989,3666,
0782-5935,01.01.1986,31.12.1987,3312,
0782-5935,01.01.1984,31.12.1985,3282,
0782-5935,01.01.1982,31.12.1983,3115,
0782-5935,01.01.1980,31.12.1981,2949,
0782-5935,01.01.1978,31.12.1979,2816,
0782-5935,01.01.1976,31.12.1977,2649,
0782-5935,01.01.1974,31.12.1975,2476,
0782-5935,01.01.1972,31.12.1973,2315,
0782-5935,01.01.1970,31.12.1971,2147,
0782-5935,01.01.1968,31.12.1969,2016,
0782-5935,16.12.1954,31.12.1967,2055,
fk22783,01.01.1994,,12500,
fk22783,01.01.1993,31.12.1993,18000,
fk22783,01.10.1992,31.12.1992,11000,
fk25588,01.01.1995,,13000,
fk25588,09.02.1994,31.12.1994,12500,
0782-5919,01.01.1996,31.12.1997,6675,
0782-5919,01.01.1994,31.12.1995,6821,
0782-5919,01.01.1993,31.12.1993,6701,
0782-5919,01.01.1992,31.12.1993,6821,
0782-5919,01.01.1990,31.12.1991,6978,
0782-5919,01.01.1988,31.12.1988,6739,
0782-5919,01.01.1986,31.12.1986,6521,
0782-5919,01.01.1984,31.12.1984,6139,
0782-5919,01.01.1982,31.12.1982,5689,
0782-5919,01.01.1978,31.12.1978,4926,
0782-5919,01.01.0001,29.04.1981,7800,
0780-7767,20.11.1980,,9000,
0780-2447,01.01.1988,,25500,
0780-2447,01.06.1984,22.11.1987,9600,
0780-2447,01.06.1983,31.05.1984,9400,
0780-2447,02.06.1982,31.05.1983,9000,
0789-0257,01.01.1992,,28700,
0789-0257,01.01.1991,31.12.1991,28300,
0789-0257,01.01.1990,31.12.1990,27900,
0789-0257,14.02.1988,31.12.1989,25000,
1237-0363,28.11.1993,31.12.1993,28700,
0787-9156,01.01.1997,31.12.1997,44200,
0787-9156,01.01.1996,31.12.1996,41500,
0787-9156,01.01.1993,31.12.1995,40000,
0787-9156,01.01.1991,31.12.1992,42700,
0787-9156,26.11.1988,31.12.1990,40000,
fk15678,01.01.1997,31.12.1998,2044,
fk15678,01.01.1996,31.12.1996,2100,
fk15678,01.01.1995,31.12.1995,2042,
fk15678,01.01.1992,31.12.1994,2076,
fk15678,01.01.1990,31.12.1991,2005,
fk15678,01.01.1988,31.12.1989,1910,
fk15678,01.01.1986,31.12.1987,1859,
fk15678,01.01.1983,31.12.1985,1839,
fk15678,01.01.1981,31.12.1982,1773,
fk15678,01.01.1979,31.12.1980,1640,
fk15678,01.01.1977,31.12.1977,1625,
fk15678,01.01.1975,31.12.1975,1621,
fk15678,01.01.1973,31.12.1973,1606,
fk15678,08.02.1968,31.12.1968,1340,
1238-7045,01.01.1996,31.12.1997,7444,
1238-7045,01.01.1994,31.12.1995,7877,
1238-7045,01.01.1992,31.12.1993,8388,
1238-7045,01.01.1991,31.12.1991,8774,
1238-7045,01.01.1988,31.12.1990,8840,
1238-7045,01.01.1987,31.12.1987,9008,
1238-7045,01.01.1980,31.12.1980,8784,
1238-7045,01.01.1970,31.12.1970,6686,
1238-7045,01.01.1960,31.12.1960,5850,
1238-7045,01.01.1933,31.12.1933,2300,
1238-7045,01.01.1923,31.12.1923,1800,
1238-7045,01.01.1914,31.12.1914,1000,
fk26939,01.01.1996,,10300,
fk26939,27.02.1995,31.12.1995,9600,
fk26939,10.10.1994,26.02.1995,8300,
fk22785,01.01.1997,31.12.2005,50000,
fk22785,01.01.1995,31.12.1996,45000,
fk22785,01.01.1994,31.12.1994,41500,
fk22785,04.09.1993,31.12.1993,40000,
fk21156,01.01.1991,,10520,
fk21156,01.01.1989,31.12.1990,8000,
fk21156,15.06.1988,31.12.1988,10000,
1235-4929,01.01.1999,31.12.1999,10200,
1235-4929,01.01.1997,31.12.1998,9665,
1235-4929,01.01.1996,31.12.1996,7600,
1235-4929,01.01.1995,31.12.1995,7500,
1235-4929,15.01.1992,31.12.1994,12000,
0358-9161,02.02.1995,31.12.1997,9301,
0358-9161,01.01.1994,31.12.1995,9559,
