ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0786-5511,01.01.1994,31.12.1995,5763,
0786-5511,01.01.1993,31.12.1993,6102,
0786-5511,01.01.1988,31.12.1992,6020,
0786-5511,01.01.1984,31.12.1984,5928,
0356-2360,01.01.1996,31.12.1997,2784,
0356-2360,01.01.1994,31.12.1995,2792,
0356-2360,01.01.1989,31.12.1993,2945,
0356-2360,01.01.1984,31.12.1984,2816,
0782-6354,01.01.1995,31.12.1997,4614,
0782-6354,01.01.1993,31.12.1994,4812,
0782-6354,01.01.1991,31.12.1992,4934,
0782-7024,28.12.1995,31.12.1995,16291,
0782-6354,01.01.1989,31.12.1990,4845,
0782-6354,01.01.1987,31.12.1988,4530,
0782-6354,01.01.1985,31.12.1986,4391,
0782-6354,14.10.1983,31.12.1983,4284,
0782-7024,14.11.1994,27.12.1995,17198,
0782-7024,23.12.1992,13.11.1994,19402,
0782-7024,14.11.1991,22.12.1992,20051,
0356-228X,01.01.1996,31.12.1996,3478,
0356-228X,01.01.1994,31.12.1995,3614,
0356-228X,01.01.1992,31.12.1993,3666,
0356-228X,01.01.1990,31.12.1991,3584,
0356-228X,01.01.1988,31.12.1989,3548,
0356-228X,01.01.1985,31.12.1985,3457,
0356-1801,01.01.1998,31.12.1999,6605,
0356-1801,01.01.1996,31.12.1997,6949,
0356-1801,01.01.1994,31.12.1995,7158,
0356-1801,01.01.1993,31.12.1993,7602,
0356-1801,01.01.1990,31.12.1992,7382,
0356-1801,01.01.1988,31.12.1989,7143,
0356-1801,01.01.1986,31.12.1987,6967,
0356-1801,01.01.1984,31.12.1985,6507,
0356-1801,01.01.1982,31.12.1983,6240,
0356-1801,01.01.1981,31.12.1981,6417,
0782-5838,01.01.1998,31.12.1999,2609,
0782-5838,01.01.1996,31.12.1997,2635,
0782-5838,01.01.1995,31.12.1995,2640,
0782-5838,01.01.1989,31.12.1994,4007,
0782-5838,01.01.1984,31.12.1988,4126,
0782-5838,01.01.1979,31.12.1983,3511,
0782-5838,01.01.1974,31.12.1978,3832,
0782-5838,24.04.1959,31.12.1973,2444,
0782-5595,01.01.1997,31.12.2000,4912,
0782-5595,01.01.1996,31.12.1996,4935,
0782-5595,01.01.1995,31.12.1995,4941,
0782-5595,01.01.1994,31.12.1994,4973,
0782-5595,01.01.1993,31.12.1993,5279,
0782-5595,01.01.1992,31.12.1992,5849,
0023-8015,01.01.1997,31.12.1998,10220,
0023-8015,01.01.1995,31.12.1996,10503,
0023-8015,01.01.1993,31.12.1994,10943,
0023-8015,01.01.1991,31.12.1992,11606,
0023-8015,01.01.1989,31.12.1990,11644,
0023-8015,01.01.1987,31.12.1988,11927,
0023-8015,01.01.1985,31.12.1986,12009,
0023-8015,01.01.1983,31.12.1984,12255,
0023-8015,01.01.1981,31.12.1982,12141,
0023-8015,01.01.1979,31.12.1980,12524,
0023-8015,01.01.1977,31.12.1978,12569,
0023-8015,03.01.1975,31.12.1976,13013,
0782-6397,01.01.1996,31.12.1997,7334,
0782-6397,01.01.1995,31.12.1995,9301,
0782-6397,01.01.1994,31.12.1994,8359,
0782-6397,01.01.1992,31.12.1993,8539,
0782-6397,01.01.1991,31.12.1991,8791,
0782-6397,01.01.1990,31.12.1990,8934,
0782-6397,01.01.1983,31.12.1983,8238,
0782-8306,01.01.1996,31.12.1997,4642,
0782-8306,01.01.1993,31.12.1996,6617,
0782-8306,01.01.1991,31.12.1993,6973,
0782-8306,01.01.1989,31.12.1991,6730,
0782-8306,01.01.1987,31.12.1987,6633,
0782-8306,01.01.1985,31.12.1985,6607,
0782-8306,01.01.1983,31.12.1983,6505,
1458-056X,02.01.1888,,3000,
0357-1378,01.01.1994,31.12.1996,5832,
0357-1378,01.01.1990,31.12.1993,7250,
0355-4155,01.01.1996,31.12.1997,17000,
0355-4155,01.01.1995,31.12.1995,18000,
0355-4155,01.01.1990,31.12.1994,19000,
0356-3510,01.01.1998,31.12.1998,72532,
0356-3510,01.01.1997,31.12.1997,71795,
0356-3510,01.01.1996,31.12.1996,72837,
0356-3510,01.01.1995,31.12.1995,73558,
0356-3510,01.01.1994,31.12.1994,73507,
0356-3510,01.01.1993,31.12.1993,77012,
0356-3510,01.01.1992,31.12.1992,83061,
0356-3510,01.01.1991,31.12.1991,90609,
0356-3510,01.01.1990,31.12.1990,90488,
0356-3510,01.01.1985,31.12.1985,84712,
0356-3510,01.01.1980,31.12.1980,79725,
0356-3510,01.01.1975,31.12.1975,76517,
0356-3510,04.12.1970,31.12.1970,61735,
0356-3510,29.11.1965,03.12.1965,53173,
0356-3510,01.01.1960,28.11.1960,54681,
0356-3510,18.11.1955,31.12.1955,55299,
0356-3510,10.09.1950,17.11.1950,45368,
0356-3510,01.01.1945,09.09.1945,36016,
0356-3510,01.01.1940,31.12.1940,20574,
0356-3510,01.01.1935,31.12.1935,11213,
0356-3510,01.01.1931,31.12.1931,10326,
0356-3510,01.01.1926,31.12.1926,7711,
1457-4330,02.01.1843,,159,
1457-4314,01.01.1885,31.12.1885,600,
1457-4314,01.01.1878,31.12.1878,850,
1457-4314,01.01.1866,31.12.1866,1000,
1457-4314,01.01.1855,31.12.1855,1800,
1457-4454,01.01.1854,31.12.1854,200,
1457-4454,01.01.1853,31.12.1853,200,
0789-8193,01.01.1997,31.12.1997,2435,
0789-8193,01.01.1996,31.12.1996,4000,
0789-8193,01.01.1994,31.12.1995,3700,
0789-8193,01.01.1992,31.12.1993,3216,
0789-8193,01.01.1990,31.12.1991,3555,
0356-4886,01.01.1997,31.12.1999,9222,
0356-4886,01.01.1995,31.12.1996,9451,
0356-4886,01.01.1994,31.12.1994,9700,
0356-4886,01.01.1992,31.12.1993,10434,
0356-4886,01.01.1990,31.12.1991,10702,
0359-0305,01.01.1995,31.12.1995,9379,
0359-0305,01.01.1993,31.12.1994,10131,
0359-0305,01.01.1991,31.12.1992,10761,
0359-0305,01.01.1990,31.12.1990,11010,
1457-4365,01.01.1844,,506,
1457-4365,01.01.1843,31.12.1843,503,
1457-4365,01.01.1842,31.12.1842,541,
1457-4403,01.01.1900,,3700,
1457-4365,01.01.1841,31.12.1841,442,
1457-4365,01.01.1840,31.12.1840,436,
1457-4365,01.01.1839,31.12.1839,415,
1457-4365,01.01.1838,31.12.1838,390,
1457-4365,01.01.1837,31.12.1837,346,
1457-4365,01.01.1836,31.12.1836,364,
1457-4365,01.01.1835,31.12.1835,377,
1457-4365,01.01.1834,31.12.1834,371,
1457-4365,01.01.1833,31.12.1833,329,
1457-4365,01.01.1832,31.12.1832,337,
1457-4403,01.01.1894,31.12.1899,2350,
1457-4403,01.01.1892,31.12.1893,2150,
1457-4403,01.01.1891,31.12.1891,1900,
1457-4403,01.01.1889,31.12.1890,1550,
1457-4403,01.01.1888,31.12.1888,1450,
1457-4403,01.01.1884,31.12.1887,1300,
1457-4403,01.01.1883,31.12.1883,1268,
1457-4403,01.01.1878,31.12.1882,1200,
1457-4403,01.01.1876,31.12.1877,940,
1457-4403,01.01.1862,31.12.1875,555,
