PAINOKSEN_ISSN,PAINOS,PAINOS_ALPVM,LEVIKKIALUE
fk16482,1,07.06.1956,Viitasaari
fk16482,1,07.06.1956,Pihtipudas
fk16482,1,07.06.1956,Kanno
fk16483,1,17.11.1961,Espoo
fk16566,1,01.01.1899,Hancock
fk16566,1,01.01.1899,Michigan
fk16797,1,15.11.1963,Kotka
fk16797,1,15.11.1963,Karhula
fk17013,1,09.12.1961,Riihimäki ympäristöineen
1797-545X,1,26.09.1991,Vuolijoki
1797-545X,1,26.09.1991,Otanmäki
fk17282,1,27.10.1991,Varkaus
fk17285,1,07.08.1991,Jyväskylän ympäristö ja mlk
fk17309,1,11.08.1982,Jämsä
fk17309,1,11.08.1982,Jämsänkoski
fk17309,1,11.08.1982,Koskenpää
fk17322,1,17.09.1980,Lohja
fk17328,1,18.11.1949,Karstula
fk17328,1,18.11.1949,Kyyjärvi
fk17328,1,18.11.1949,Kivijärvi
fk17329,1,10.12.1981,Keuruu
fk17331,1,08.06.1956,Alavus
fk17331,1,08.06.1956,Kuortane
fk17331,1,08.06.1956,Lehtimäki
fk17333,1,01.11.1966,Viitasaari
fk17349,1,05.11.1965,Vuosaari (Helsinki)
fk18272,1,15.09.1991,Pieksämäki
fk18272,1,15.09.1991,Varkaus
fk18272,1,15.09.1991,Jäppilä...
fk19500,1,15.08.1968,Elimäki
fk19501,1,22.04.1970,Vaajakoski
fk19501,1,22.04.1970,Jyskä
fk19501,1,22.04.1970,Leppälahti
1458-0772,1,29.01.1941,Hangö
1458-0942,1,16.11.1881,Helsinki
fk19505,1,22.12.1926,Kauhava
1457-4373,1,02.01.1845,Helsingfors
fk02717,1,17.12.1930,Helsinki
fk19508,1,27.03.1925,Virrat
fk19508,1,27.03.1925,Ähtäri
fk19508,1,27.03.1925,Pihlajavesi
fk19509,1,05.01.1927,Virrat
fk19509,1,05.01.1927,Ähtäri
fk19509,1,05.01.1927,Alavus
fk19509,1,05.01.1927,Kuo...
fk19510,1,04.01.1929,Virrat
fk19510,1,04.01.1929,Ähtäri
fk19510,1,04.01.1929,Alavus
fk19510,1,04.01.1929,Töysä
fk19511,1,15.12.1898,Tampere ympäristöineen
fk19512,1,25.09.1970,Saarijärvi
fk19512,1,25.09.1970,Karstula
fk19512,1,25.09.1970,Kanno...
fk19513,1,02.12.1971,Hyvinkää
fk19513,1,02.12.1971,Nurmijärvi
0789-0206,1,23.10.1972,Sonkajärvi
fk19515,1,08.12.1962,Salo ympäristöineen
fk19516,1,23.06.1976,Kalajoki
fk19517,1,06.05.1918,Helsinki
fk19518,1,04.12.1918,Helsinki
fk19520,1,07.12.1918,Kuopio
fk19521,1,01.03.1919,Kuopio
fk19522,1,06.05.1919,Kuopio
fk19523,1,29.05.1919,Kuopio
fk19524,1,28.02.1920,Kuopio
fk19525,1,18.08.1920,Kuopio
fk19526,1,13.09.1921,Kuopio
fk19527,1,03.11.1921,Kuopio
fk19528,1,02.02.1922,Kuopio
fk19529,1,20.06.1922,Kuopio
fk19530,1,26.09.1922,Kuopio
fk11759,1,15.01.1961,Hatanpää
fk00084,1,23.10.1921,Helsingfors
fk00085,1,03.11.1923,Helsingfors
fk00428,1,01.12.1925,Suomi
fk01168,1,01.06.1918,Helsinki
fk01350,1,05.12.1918,HELSINKI
fk02637,1,05.01.1930,Helsinki
fk03539,1,21.12.1914,Finland
1238-2779,1,01.01.1919,Helsinki
fk06902,1,01.11.1977,Mikkeli
fk07950,1,02.01.1962,Jyväskylä
fk10000,1,23.07.1919,Helsingfors
fk10001,1,03.01.1949,Helsingfors
fk10002,1,12.09.1914,Tampere
fk10003,1,24.11.1924,Helsinki
1458-0691,1,05.12.1892,Helsingfors
1458-0713,1,30.03.1895,Helsingfors
fk10006,1,08.07.1944,Helsingfors
1458-0500,1,09.03.1878,Kristiina
1458-0500,1,08.01.1881,Vaasa
fk10008,1,11.10.1930,Helsinki
fk10009,1,02.12.1932,Helsinki
fk10011,1,04.05.1945,Äänekoski
fk10011,1,04.05.1945,Suolahti
fk10012,1,31.03.1925,Alavus
fk10012,1,31.03.1925,Kuortane
fk10012,1,31.03.1925,Töysä
1457-425X,1,06.02.1858,Kuopio
1458-0519,1,05.01.1889,Helsingfors
1458-0527,1,01.08.1900,Helsingfors
fk10016,1,31.01.1918,Helsingfors
fk10017,1,06.11.1908,Åbo
1458-0535,1,03.12.1880,Turku
1458-0551,1,06.09.1861,Helsingfors
1457-4284,1,01.07.1865,Björneborg
1457-4276,1,06.07.1860,Björneborg
1457-4292,1,21.12.1872,Björneborg
fk10023,1,17.12.1892,Borgå
1457-4306,1,02.12.1837,Borgå
1458-056X,1,02.01.1888,Helsingfors
1458-0578,1,02.01.1877,Helsingfors
fk10027,1,20.03.1914,Helsingfors
fk10028,1,07.12.1911,Helsingfors
fk10029,1,20.11.1900,Helsingfors
fk10030,1,27.02.1919,Turku
fk10031,1,17.03.1918,Vasa
fk10032,1,11.04.1924,Suomi
1458-0594,1,03.01.1883,Ekenäs
fk10034,1,14.12.1892,Ekenäs
fk10035,1,16.12.1905,Helsinki
1458-0616,1,01.03.1890,Uusikaupunki
fk10037,1,07.08.1920,Hyvinkää
fk10038,1,19.12.1927,Riihimäki
fk10039,1,26.02.1971,Kajaani
fk23331,1,01.04.1971,Kajaani
fk10042,1,16.08.1919,Seinäjoki
fk10042,1,16.08.1919,Kristiina
fk10043,1,03.10.1924,Seinäjoki
fk10044,1,03.12.1929,Seinäjoki
fk10045,1,21.12.1928,Seinäjoki
fk10046,1,03.11.1917,Lappeenranta
1458-0624,1,23.01.1886,Helsingfors
1458-0632,1,06.12.1884,Finland
1457-4314,1,03.01.1820,Helsingfors
fk10050,1,27.10.1932,Helsinki
fk10051,1,04.03.1918,Helsingfors
fk10052,1,01.01.1900,Helsinki
1458-0675,1,10.12.1887,Helsingfors
fk10054,1,21.12.1918,Vasa
fk10055,1,30.11.1901,Helsingfors
fk10056,1,24.05.1902,Jakobstad
fk10057,1,20.12.1944,Helsingfors
fk10058,1,22.12.1936,Vasa
1458-0683,1,02.01.1861,Helsingfors
fk10060,1,08.01.1906,Björneborg
fk10061,1,29.11.1904,Forssa
1458-0721,1,03.09.1884,Fredrikshamn
fk10063,1,15.12.1906,Helsingfors
fk10064,1,24.12.1909,Gamlakarleby
fk10065,1,16.01.1894,Gamlakarleby
fk10066,1,18.06.1958,Haapajärvi
fk10067,1,19.12.1938,Haapamäki
fk10068,1,10.12.1907,Hamina
1458-073X,1,29.11.1889,Hamina
1458-0756,1,02.07.1907,Hamina
fk10071,1,06.12.1913,Hanko
fk10071,1,06.12.1913,Lohja
fk10072,1,03.12.1929,Hanko
fk10073,1,01.12.1908,Hangö
fk10074,1,22.12.1914,Hangö
fk10075,1,09.02.1915,Hangö
fk10076,1,18.02.1952,Hattula
fk10076,1,18.02.1952,Kalvola
fk10076,1,18.02.1952,Tyrväntö
fk10077,1,04.12.1931,Hauho
fk10077,1,04.12.1931,Tuulos
fk10077,1,04.12.1931,Tyrväntö
fk10078,1,07.06.1922,Heinola
fk10079,1,23.11.1912,Heinola
fk10080,1,23.11.1905,Heinola
fk10081,1,25.05.1918,Heinola
1458-0586,1,02.01.1879,Helsingfors
1458-0705,1,07.06.1893,Helsingfors
1457-4330,1,02.01.1843,Helsingfors
1457-4349,1,16.12.1853,Helsingfors
1457-4357,1,29.06.1876,Helsingfors
1458-0799,1,24.12.1866,Helsingfors
1458-0802,1,16.11.1861,Helsingfors
1457-4365,1,01.01.1832,Helsingfors
1458-0810,1,03.09.1864,Helsingfors
fk10091,1,25.06.1902,Helsingfors
fk10092,1,18.12.1909,Helsingfors
1457-439X,1,03.01.1829,Helsingfors
fk10094,1,21.12.1926,Helsinki
fk27965,1,01.01.1928,Helsinki
1458-0829,1,20.11.1862,Helsinki
fk10097,1,14.09.1908,Helsinki
1458-0837,1,02.12.1881,Helsinki
1458-0853,1,09.09.1885,Helsingfors
fk10100,1,16.06.1933,Helsinki
fk10101,1,11.04.1929,Hyvinkää
fk10102,1,03.07.1919,Hämeenlinna
fk10103,1,29.03.1895,Hämeenkyrö
fk10103,1,29.03.1895,Tampere
fk10104,1,24.03.1922,Hämeenlinna
fk10104,1,24.03.1922,Tampere
fk10105,1,17.02.1906,Hämeenlinna
fk10106,1,16.05.1946,Tampere
fk10107,1,22.12.1948,Tampere
fk10108,1,28.08.1902,Hämeenlinna
1457-4403,1,03.09.1858,Hämeenlinna
fk10110,1,19.12.1913,Ikaalinen
fk10111,1,17.12.1929,Ilmajoki
1457-4411,1,11.12.1847,Vasa
1458-087X,1,12.12.1866,Viipuri
1458-0888,1,01.12.1874,Viipuri
1457-4268,1,12.03.1859,Kuopio
fk10116,1,30.09.1912,Helsinki
fk10117,1,13.09.1919,Helsinki
fk10118,1,06.01.1921,Rautu
fk10118,1,06.01.1921,Käkisalmi
fk10119,1,02.01.1897,Helsinki
fk10120,1,04.08.1904,Heinola
fk10121,1,11.12.1905,Heinola
fk10122,1,03.09.1938,Lahti
fk10122,1,03.09.1938,Heinola
fk10123,1,21.12.1896,Käkisalmi
fk10124,1,10.11.1923,Helsinki
fk10125,1,26.08.1939,Suojärvi
fk10126,1,07.01.1955,Haapajärvi
fk10126,1,07.01.1955,Pyhäjärvi
fk10126,1,07.01.1955,Reisjärvi
fk10127,1,18.12.1931,Koivisto lähikuntineen
fk10128,1,10.10.1894,Lappeenranta
fk10129,1,09.06.1899,Kotka
fk10130,1,02.01.1918,Viipuri
fk10131,1,09.03.1917,Helsinki
fk10132,1,01.12.1922,Jaakkima
fk10133,1,20.12.1905,Jaakkima
fk10134,1,23.06.1915,Jaakkima
fk10135,1,28.01.1920,Jaakkima
fk10135,1,28.01.1920,Lappeenranta
fk10135,1,28.01.1920,Ilmajoki
fk10136,1,11.11.1905,Jakobstad
fk10137,1,03.12.1898,Jakobstad
fk10138,1,15.09.1955,Jalasjärvi
fk10139,1,21.12.1906,Helsinki
1458-0896,1,04.01.1890,Heinola
fk10141,1,14.08.1959,Jyväskylä
fk10142,1,03.01.1951,Jyväskylä
fk10143,1,09.01.1931,Jämsä
fk10144,1,24.02.1921,Jämsä
fk10145,1,30.10.1958,Järvenpää
fk10145,1,30.10.1958,Tuusula
fk10146,1,07.01.1939,Terijoki
fk10146,1,07.01.1939,Kanneljärvi
fk10146,1,07.01.1939,Rautu
fk10147,1,17.01.1925,Viipuri
1458-090X,1,17.11.1877,Oulu
fk10149,1,31.08.1905,Kajaani
fk10150,1,09.03.1922,Kajaani
fk10151,1,15.04.1930,Kajaani
fk10152,1,17.10.1936,Kajaani
fk10153,1,16.12.1922,Kajaani
fk10154,1,09.11.1920,Kajaani
fk10155,1,02.12.1922,Kajaani
fk10156,1,12.12.1916,Kajaani
fk10157,1,15.02.1899,Kajaani
fk10158,1,04.01.1921,Kajaani
1457-4446,1,04.01.1845,Viipuri
fk10160,1,05.01.1939,Kankaanpää
fk10161,1,02.06.1928,Terijoki
fk10161,1,02.06.1928,Uusikirkko
fk10161,1,02.06.1928,Äyräpää
fk10162,1,17.12.1926,Terijoki
fk10163,1,08.04.1920,Kuopio
1458-0918,1,15.10.1863,Helsinki
fk10165,1,13.11.1896,Pori
fk10166,1,15.06.1939,Helsinki
fk10167,1,04.01.1941,Helsinki
1458-0926,1,30.11.1867,Keski-Suomi
1458-0934,1,20.05.1886,Vaasa
fk10171,1,10.01.1919,Tampere ympäristöineen
fk10172,1,28.10.1932,Kokkola
fk10172,1,28.10.1932,Ylivieska
fk10173,1,19.01.1906,Oulu
fk10174,1,19.03.1917,Oulu
fk10175,1,20.12.1921,Oulu
fk10176,1,02.01.1919,Viipuri
fk10178,1,30.01.1914,Lahti
fk10179,1,08.02.1919,Joensuu
fk10180,1,29.11.1907,Lappeenranta
fk10181,1,19.01.1939,Hämeenlinna
fk10182,1,16.12.1937,Viipuri
fk10183,1,27.11.1915,Viipuri
fk10184,1,03.07.1940,Hamina
fk10185,1,07.03.1946,Lappeenranta
fk10188,1,16.12.1940,Oulu
1458-0969,1,10.12.1906,Joensuu
fk10190,1,17.12.1929,Viipuri
fk10191,1,20.12.1934,Viipuri
fk10192,1,11.12.1942,Karjala
fk10192,1,01.09.1944,Etelä-Suomi
fk10193,1,16.11.1933,Viipurin lääni
fk10194,1,30.11.1918,Laatokan Karjala
1458-0950,1,02.10.1874,Joensuu
fk10196,1,10.06.1914,Kaskinen
fk10196,1,10.06.1914,Suupohja
fk10197,1,18.03.1904,Kristiina
fk10199,1,02.01.1947,Kauhava
fk10199,1,02.01.1947,Ylihärmä
fk10199,1,02.01.1947,Alahärmä
fk10200,1,05.01.1960,Riihimäki
fk10200,1,05.01.1960,Hausjärvi
fk10200,1,05.01.1960,Loppi
fk10201,1,20.04.1905,Kokkola
1458-6630,1,12.12.1903,Savonlinna
fk10203,1,11.10.1956,Suonenjoki
fk10203,1,11.10.1956,Rautalampi
fk10204,1,01.05.1930,Suolahti
fk10204,1,01.05.1930,Äänekoski
1457-4659,1,31.12.1910,Jyväskylä
fk10206,1,10.06.1907,Jyväskylä
fk10208,1,02.04.1936,Jyväskylä
fk10209,1,21.01.1947,Jyväskylä
fk10211,1,21.06.1926,Keuruu
fk10211,1,21.06.1926,Pihlajavesi
fk10211,1,21.06.1926,Multia
fk10212,1,02.04.1920,Rautu
fk10212,1,02.04.1920,Käkisalmi
1458-0985,1,14.11.1879,Tampere
fk10214,1,10.07.1936,Kemijärvi
fk10214,1,10.07.1936,Salla
fk10214,1,10.07.1936,Pelkosenniemi
1458-0748,1,30.10.1899,Hamina
fk10216,1,17.11.1897,Kokkola
1458-0993,1,10.12.1884,Kokkola
fk10218,1,30.11.1915,Kokkola
fk10219,1,09.09.1938,Vörå
fk10220,1,01.01.1918,Joensuu
1458-1825,1,06.05.1882,Kotka
1458-2252,1,20.12.1882,Kotka
fk10224,1,29.12.1940,Kotka
fk10225,1,26.05.1897,Kotka
fk10226,1,11.08.1897,Kristinestad
fk10227,1,13.12.1895,Hämeenkyrö
fk10227,1,13.12.1895,Viljakkala
fk10228,1,03.10.1928,Uusikirkko
fk10228,1,03.10.1928,Lokalahti
fk10228,1,03.10.1928,Pyhäranta
fk10229,1,20.12.1923,Eurajoki
fk10229,1,20.12.1923,Kiukainen
fk10229,1,20.12.1923,Lappi
fk10229,1,20.12.1923,Rauma
fk10230,1,14.12.1934,Suonenjoki
fk10230,1,14.12.1934,Iisvesi
fk10230,1,14.12.1934,Rautalampi
fk10231,1,16.10.1926,Kokemäki
fk10231,1,16.10.1926,Kauvatsa
fk10231,1,16.10.1926,Köyliö
1457-4462,1,06.12.1856,Kuopio
1457-4470,1,09.12.1880,Kuopio
1457-4489,1,09.02.1919,Kuopio
fk10235,1,11.09.1901,Kuopio
1457-4454,1,07.08.1851,Kuopio
fk10237,1,01.12.1928,Kurikka
fk10238,1,05.10.1938,Kuusankoski
fk10239,1,01.12.1927,Kotka
fk10240,1,21.12.1933,Kouvola
fk10241,1,14.10.1939,Kouvola
fk10241,1,14.10.1939,Pohjois-Kymenlaakso
fk10242,1,04.01.1893,Kotka
fk10242,1,04.01.1893,Kymi
fk10243,1,30.06.1906,Kotka ympäristöineen
fk10244,1,18.03.1930,Seinäjoki
fk10245,1,12.10.1956,Laihia
fk10246,1,27.10.1916,Hämeenkyrö
fk10247,1,19.11.1906,Käkisalmi
fk10248,1,20.12.1907,Käkisalmi
fk10249,1,25.05.1921,Oulu
1458-2279,1,17.11.1881,Sortavala
fk10253,1,28.03.1900,Lahti
fk10254,1,03.11.1909,Lahti
fk10255,1,06.09.1927,Lahti ja ympäristökunnat
fk10256,1,08.11.1934,Lahti
fk10257,1,21.12.1905,Lahti
fk10258,1,31.10.1932,Seinäjoki
fk10259,1,20.12.1933,Seinäjoki
fk10260,1,13.09.1935,Seinäjoki
1458-2317,1,20.06.1885,Lappeenranta
fk10262,1,01.12.1906,Lappeenranta
fk10263,1,22.06.1941,Pohjois-Suomi
fk10264,1,25.04.1927,Lapua
fk10265,1,06.10.1928,Lempäälä
fk10266,1,30.10.1930,Lieksa
fk10267,1,03.09.1937,Lieksa
fk10268,1,28.10.1954,Helsinki
1458-2333,1,15.12.1890,Oulu
fk10270,1,23.08.1907,Forssa
fk10270,1,23.08.1907,Tammela
fk10270,1,23.08.1907,Jokioinen
1458-2341,1,11.12.1886,Pori
fk10272,1,19.02.1918,Lovisa
fk10273,1,04.06.1954,Ahlainen
fk10273,1,04.06.1954,Kullaa
fk10273,1,04.06.1954,Noormarkku
1458-235X,1,01.05.1863,Pori
fk10275,1,21.08.1953,Kannus
fk10275,1,21.08.1953,Sievi
fk10275,1,21.08.1953,Himanka
fk10275,1,21.08.1953,Kalajoki
fk10276,1,19.12.1898,Turku
1458-2368,1,17.02.1877,Pori
fk10278,1,04.12.1908,Viipuri
fk10279,1,24.11.1945,HELSINKI
fk10280,1,06.12.1960,Loimaa
fk10281,1,12.12.1961,Loimaa
fk10282,1,16.09.1939,Satakunta
fk10283,1,30.10.1947,Suomi
1457-4500,1,05.01.1844,Kuopio
1458-2384,1,07.12.1889,Tampere
1458-2392,1,24.12.1890,Tampere
fk10287,1,25.08.1934,Etelä-Pohjanmaa
fk34858,1,11.12.1919,Helsinki
fk10289,1,16.10.1920,Tampere
fk10290,1,10.08.1959,Haapajärvi
fk10291,1,27.07.1916,Kymenlaakso
1458-2422,1,15.12.1881,Nykarleby
1458-2422,1,15.12.1881,Jakobstad
fk10293,1,15.01.1941,Merikarvia
fk10293,1,15.01.1941,Siikainen
1458-851X,1,01.11.1892,Mikkeli
fk10295,1,16.10.1935,Mikkeli
1458-2430,1,23.11.1861,Mikkeli
1458-2457,1,10.01.1885,Mikkeli
1458-2481,1,07.12.1895,Mikkeli
1458-2449,1,27.02.1863,Mikkeli
1457-4381,1,05.12.1871,Helsingfors
fk10301,1,20.03.1905,Helsingfors
fk10302,1,30.08.1963,Mäntsälä
fk10303,1,06.06.1922,Naantali
fk10304,1,10.11.1943,Gamlakarleby
1458-249X,1,04.01.1883,Nykarleby
fk10306,1,25.04.1908,Helsinki
fk10307,1,26.10.1929,Nurmes
fk10307,1,26.10.1929,Valtimo
fk10308,1,02.11.1926,Vasa
fk10309,1,03.04.1948,Mellersta Nyland
1458-2503,1,30.11.1882,Helsingfors
fk10311,1,02.01.1906,Helsingfors
1458-2511,1,01.03.1890,Nystad
fk10313,1,16.10.1922,Helsinfors
fk10314,1,18.11.1922,Helsingfors
fk10315,1,04.12.1895,Nystad
1456-0526,1,29.04.1947,Helsingfors
fk10317,1,17.11.1906,Helsinki
fk10318,1,12.11.1909,Sortavala
fk10319,1,17.12.1921,Orimattila
fk10319,1,17.12.1921,Artjärvi
fk10320,1,30.06.1926,Orivesi
fk10320,1,30.06.1926,Eräjärvi
fk10320,1,30.06.1926,Längelmämäki
fk10321,1,10.10.1929,Orivesi
fk10321,1,10.10.1929,Juupajoki
fk10321,1,10.10.1929,Eräjärvi
1457-4519,1,03.07.1860,Viipuri
1458-6584,1,09.02.1904,Kuopio
1458-2546,1,23.12.1886,Oulu
1458-2554,1,19.11.1879,Oulu
fk10326,1,11.02.1915,Oulu
1457-4527,1,03.01.1829,Oulu
fk10328,1,06.05.1937,Noormarkku
fk10328,1,06.05.1937,Pomarkku
fk10328,1,06.05.1937,Ahlainen
fk10329,1,05.02.1919,Paimio
fk10329,1,05.02.1919,Sauvo
1457-4535,1,01.12.1858,Helsingfors
fk10331,1,17.12.1935,Parainen
fk10332,1,12.11.1909,Parikkala
fk10333,1,05.01.1935,Parkano
fk10333,1,05.01.1935,Karvia
fk10333,1,05.01.1935,Kihniö
fk10334,1,10.11.1915,Jakobstad och omnejd
fk10335,1,03.01.1931,Jakobstad
fk10335,1,03.01.1931,Mellersta Österbotten
1458-2465,1,01.10.1881,Mikkeli
fk10337,1,08.01.1937,Helsinki (Porvoo)
fk10338,1,20.06.1930,Perniö
fk10339,1,06.08.1926,Tornio
fk10340,1,29.05.1897,Kemi
fk34392,1,13.03.1929,Petsamo
fk10342,1,04.09.1925,Pieksämäki
fk10343,1,13.03.1953,Pieksämäki
fk10343,1,13.03.1953,Jäppilä
fk10343,1,13.03.1953,Virtasalmi
fk10344,1,22.03.1951,Pieksämäki ja lähikunnat
fk10345,1,07.11.1930,Pieksämäki
fk10346,1,24.03.1959,Helsinki
fk10347,1,26.02.1929,Pietarsaari
fk10348,1,17.06.1959,Kitee
fk10349,1,02.07.1913,Pirkkala (Nokia 1938)
fk10350,1,31.03.1954,Lammi
fk10351,1,17.12.1953,Lammi
1458-2570,1,03.12.1889,Vaasa
fk10353,1,13.12.1910,Vaasa
fk10354,1,01.05.1919,Oulu
fk10355,1,01.09.1921,Oulu
fk10356,1,05.06.1935,Kyrönmaa
1458-2651,1,14.01.1915,Rauma
fk10358,1,11.11.1909,Vaasa
fk10359,1,17.03.1959,Haapajärvi
fk10359,1,17.03.1959,Pyhäjärvi
fk10359,1,17.03.1959,Reisjärvi
fk10360,1,15.03.1930,Oulu
fk10361,1,30.10.1934,Oulu
fk10362,1,23.12.1904,Vaasa
1458-2589,1,01.08.1866,Oulu
fk10364,1,02.08.1924,Oulu
fk10365,1,11.05.1933,Jämsä
fk10366,1,11.09.1934,Tampere
fk10367,1,14.12.1954,Mänttä
fk10368,1,01.09.1899,Joensuu
fk10369,1,12.09.1936,Joensuu
fk10370,1,03.11.1932,Kemi
fk10371,1,02.03.1937,Kankaanpää
