PAINOKSEN_ISSN,PAINOS,PAINOS_ALPVM,LEVIKKIALUE
fk10371,1,02.03.1937,Honkajoki
fk10371,1,02.03.1937,Karvia
1458-2597,1,26.08.1876,Oulu
fk10373,1,27.03.1905,Kemi
fk10374,1,04.01.1955,Kemi
fk10375,1,15.12.1899,Kristiina
fk10376,1,04.10.1934,Oulu
fk10377,1,01.07.1939,Oulun seutu
fk10378,1,11.01.1924,Oulu
fk10379,1,10.03.1907,Åbo
fk10380,1,09.08.1892,Pori
1457-4543,1,07.07.1860,Pori
fk10382,1,01.12.1952,Harjavalta
fk10382,1,01.12.1952,Nakkila
fk10382,1,01.12.1952,Kiukainen
fk10383,1,27.07.1917,HELSINKI
fk10384,1,17.04.1925,Lohja
fk10384,1,17.04.1925,Vihti
fk10384,1,17.04.1925,Pyhäjärvi
fk10384,1,17.04.1925,Pusula
1458-2600,1,04.12.1877,Jyväskylä
1458-2619,1,16.11.1889,Helsinki
fk10387,1,06.02.1915,Sortavala
1458-2627,1,30.11.1887,Helsinki
fk10389,1,15.06.1928,Helsinki
fk10390,1,30.04.1952,Helsinki
1457-4713,1,05.09.1863,Helsinki
fk10392,1,24.03.1910,Helsinki
fk10393,1,28.02.1907,Raahe
fk10394,1,17.11.1896,Raahe
1458-2635,1,18.09.1889,Raahe
fk10396,1,11.01.1906,Raahe
fk10397,1,04.01.1908,Lahti
fk10398,1,09.12.1920,Vaasa
fk10399,1,27.07.1945,Kotka
fk10399,1,27.07.1945,Kymenlaakso
fk10400,1,17.11.1906,Sortavala
fk10401,1,02.06.1906,Sortavala
fk10402,1,24.05.1930,Koivisto
fk10402,1,24.05.1930,Uuras
fk10402,1,24.05.1930,Johannes
fk10403,1,14.06.1933,Turun ympäristö
1458-2643,1,08.12.1881,Rauma
1458-266X,1,20.04.1918,Rauma
fk10406,1,24.09.1924,Rauma
fk10407,1,31.12.1919,Rauma
fk10408,1,08.03.1927,Reisjärvi
fk10409,1,10.12.1921,Rovaniemi
fk10410,1,01.12.1911,Räisälä
fk10411,1,04.12.1925,Räisälä
fk10412,1,17.12.1917,Jyväskylä
fk10413,1,08.01.1943,Saarijärvi
1457-456X,1,04.01.1844,Kuopio
1458-2473,1,26.09.1893,Mikkeli
fk10416,1,13.11.1908,Salo
fk10417,1,30.03.1936,Salo
fk10418,1,22.12.1919,Salo
fk10419,1,01.05.1934,Salo
1458-2678,1,01.06.1888,Tampere
1457-4608,1,01.12.1855,Viipuri
1457-4586,1,05.01.1833,Viipuri
fk10423,1,16.12.1914,Kuopio
fk10424,1,27.11.1894,Pori
1458-2686,1,02.01.1866,Tampere
1457-4616,1,24.12.1850,Turku
fk10427,1,20.12.1919,Pori
1457-599X,1,26.10.1906,Pori
fk10429,1,20.02.1934,Pori
1458-2740,1,01.02.1873,Pori
fk10431,1,04.03.1939,Pori
1458-655X,1,26.10.1878,Kuopio
1458-6606,1,03.01.1888,Kuopio
fk10434,1,01.07.1945,Lappeenranta
fk10435,1,31.07.1907,Savonlinna ympäristöineen
fk10436,1,02.06.1918,Kuopio
fk10438,1,01.07.1944,Kuopio
fk10439,1,30.09.1911,Kuopio
1458-6614,1,08.04.1876,Savonlinna ympäristöineen
fk10441,1,19.03.1936,Savonlinna
1458-6649,1,01.11.1919,Savonlinna
fk10443,1,21.11.1934,Kuopio
fk10444,1,02.09.1924,Kuopio
fk10445,1,01.02.1906,Kuopio
fk10446,1,24.03.1917,Kuopio
fk10447,1,08.04.1920,Kuopio
fk10448,1,20.09.1930,Kuopio
fk10449,1,09.01.1891,Kuopio
fk10450,1,14.11.1906,Kuopio
fk10451,1,15.12.1926,Seinäjoki
fk10451,1,15.12.1926,Seinäjoen mlk
fk10452,1,21.12.1932,Seinäjoki
fk10452,1,21.12.1932,Seinäjoen mlk
fk10453,1,11.12.1946,Pieksämäki
fk10454,1,16.12.1955,Äänekoski
fk10454,1,16.12.1955,Suolahti
fk10455,1,04.12.1923,Jyväskylä
fk10456,1,13.11.1944,Helsinki
fk25048,1,09.03.1906,Jyväskylä
1458-2287,1,03.11.1914,Sortavala
fk10459,1,17.02.1906,Pori
fk10460,1,16.01.1906,Turku
fk10461,1,02.01.1920,Turku
1458-6665,1,23.11.1861,St Michel
1458-6673,1,16.09.1876,St Michel
fk10464,1,15.09.1961,Sulkava
1457-4624,1,31.01.1846,Helsinki
1457-4632,1,10.12.1888,Jyväskylä
fk10467,1,18.05.1907,Helsinki
fk10468,1,18.12.1907,Helsinki
1457-4675,1,03.01.1866,Helsinki
1457-4667,1,10.11.1856,Helsinki
fk10471,1,04.01.1901,Helsinki
fk10472,1,23.03.1932,Helsinki
fk10473,1,01.02.1918,Helsinki
1457-4683,1,01.09.1775,Mynämäki (Turku)
1458-6746,1,02.01.1872,Viipurin lääni
fk10477,1,05.06.1929,Helsinki
fk10478,1,15.02.1946,Parkano
fk10479,1,27.03.1929,Tampere
fk10480,1,17.06.1936,Helsinki
fk10481,1,30.11.1935,Helsinki
fk10482,1,01.01.1945,Helsinki
fk10483,1,02.06.1939,Kuopio
fk10484,1,21.09.1921,Helsinki
fk10485,1,14.01.1932,Helsinki
fk10486,1,16.10.1920,Helsinki
fk10487,1,02.01.1922,Helsinki
fk10488,1,18.01.1930,Helsinki
1457-4705,1,12.01.1847,Helsinki
1457-473X,1,31.01.1847,Helsinki
1458-8501,1,28.11.1888,Mikkeli
fk10492,1,15.12.1911,Häme
fk10492,1,15.12.1911,Satakunta
fk10492,1,15.12.1911,Etelä-Pohjanmaa
fk10493,1,27.04.1918,Helsinki
fk10494,1,10.06.1950,Sodankylä
fk10494,1,10.06.1950,Inari
fk10494,1,10.06.1950,Utsjoki
fk10495,1,20.11.1897,Kristiina
1458-8536,1,13.12.1883,Vaasa
fk10497,1,25.01.1919,Joensuu
1458-8528,1,02.03.1906,Mikkeli
fk10499,1,25.01.1921,Mikkeli
fk11010,1,11.06.1925,Kimito
fk11010,1,11.06.1925,Dragsfjärd
fk11010,1,11.06.1925,Västanfjärd
fk11043,1,01.01.1935,New York Mills
fk11043,1,01.01.1935,Minnesota
fk11098,1,18.10.1963,Hankasalmi
fk11116,1,03.03.1936,Malmi
fk11116,1,03.03.1936,Tapanila
fk11116,1,03.03.1936,Puistola
fk11168,1,19.03.1917,Duluth
fk11168,1,19.03.1917,Minnesota
fk11184,1,26.09.1953,Hyvinkää
fk11184,1,26.09.1953,Nurmijärvi
fk11194,1,07.02.1963,Jokela
fk11195,1,30.04.1964,YLIVIESKA
fk11253,1,30.06.1964,Uurainen
fk11253,1,30.06.1964,Toivakka
fk11253,1,30.06.1964,Muurame
fk11275,1,06.10.1939,Kankaanpää ympäristöineen
fk11291,1,27.05.1959,Karhula
fk11322,1,24.03.1964,Varkaus
fk11376,1,05.01.1966,Perniö
fk11376,1,05.01.1966,Särkisalo
fk11376,1,05.01.1966,Kisko
fk11392,1,23.08.1963,Kotka
fk11409,1,15.12.1949,Ala-Satakunta
fk11420,1,05.01.1933,Kurikka
fk11420,1,05.01.1933,Jalasjärvi
fk11433,1,28.11.1931,Anjala
fk11433,1,28.11.1931,Sippola
fk11433,1,28.11.1931,Myllykoski
fk11441,1,09.12.1966,Kitee
fk11441,1,09.12.1966,Tohmajärvi
fk11441,1,09.12.1966,Värtsilä
fk11487,1,20.12.1963,Lahti ympäristöineen
fk11496,1,04.12.1936,Helsingfors
fk11525,1,28.09.1962,Leppävirta
1455-4348,1,08.01.1936,Loppi
1457-7372,1,19.11.1963,Luumäki
fk11688,1,02.01.1945,Helsingfors
fk11759,1,15.01.1961,Pirkkala
fk11822,1,15.11.1957,Asikkala
fk11822,1,15.11.1957,Sysmä
fk11822,1,15.11.1957,Padasjoki
fk11824,1,23.09.1957,Helsinki
fk11862,1,25.08.1965,Suonenjoki
fk11862,1,25.08.1965,Rautalampi
fk11958,1,01.01.1965,Somero
1458-6592,1,01.11.1909,Kuopio ympäristöineen
fk11980,1,13.05.1950,Savitaipale
fk11980,1,13.05.1950,Suomenniemi
1458-8579,1,16.06.1916,Hämeen lääni
fk14215,1,11.11.1930,Uusimaa
fk14356,1,16.02.1994,Espoo
fk14356,1,16.02.1994,Kauniainen
fk14356,3,16.02.1994,ESPOO
fk14356,3,16.02.1994,KAUNIAINEN
fk14356,2,16.02.1994,Espoo
fk14356,2,16.02.1994,Kauniainen
fk14356,4,16.02.1994,ESPOO
fk14356,4,16.02.1994,KAUNIAINEN
fk14356,5,16.02.1994,Espoo
fk14356,5,16.02.1994,Kauniainen
fk14357,1,16.02.1994,ITÄ-HELSINKI
fk14357,3,16.02.1994,ITÄ-HELSINKI
fk14357,2,16.02.1994,ITÄ-HELSINKI
fk14358,1,16.02.1994,Länsi-Helsinki
fk14358,3,16.02.1994,Länsi-Helsinki
fk14358,2,16.02.1994,Länsi-Helsinki
fk14359,1,16.02.1994,Vantaa
fk14360,1,16.02.1994,Pohjois-Helsinki
fk14360,2,16.02.1994,POHJOIS-HELSINKI
fk14360,3,16.02.1994,Pohjois-Helsinki
fk14406,1,01.12.1976,Elimäki
fk14419,1,20.06.1979,Hanko
fk14419,1,20.06.1979,Inkoo
fk14419,1,20.06.1979,Karjaa
fk14419,1,20.06.1979,Kirkkonummi
fk14478,1,25.05.1961,Alahärmä
fk14478,1,25.05.1961,Ylihärmä
fk14487,1,28.01.1986,Lohja
fk14497,1,02.03.1961,Jalasjärvi
fk14497,1,02.03.1961,Peräseinäjoki
fk14534,1,01.09.1977,Jyväskylän ympäristö
fk14563,1,16.02.1994,HELSINKI
fk14563,3,16.02.1994,HELSINKI
fk14563,4,16.02.1994,Helsinki
fk14563,2,16.02.1994,HELSINKI
fk14570,1,27.11.1948,Karkkila
fk14570,1,27.11.1948,Nummi-Pusula
fk14594,1,08.01.1981,Kempele
1236-8407,1,16.11.1963,Kaavi
1236-8407,1,16.11.1963,Juankoski
1457-7208,1,24.04.1964,Turenki
1457-7208,1,24.04.1964,Janakkala
1457-7208,1,24.04.1964,Renko
fk14690,1,15.10.1980,Halikko
fk14690,1,15.10.1980,Kuusjoki
fk14690,1,15.10.1980,Pertteli
1795-9748,1,08.01.1976,Kurikka
1795-9748,1,08.01.1976,Jalasjärvi
fk14725,1,03.02.1985,Lapua
fk14728,1,23.10.1964,Laukaa
fk14728,1,23.10.1964,Konnevesi
fk14750,1,03.01.1914,Helsingfors
fk14751,1,18.12.1935,Helsingfors
fk14752,1,02.01.1922,Helsingfors
fk14753,1,03.05.1917,Helsingfors
fk14754,1,01.11.1921,Helsingfors
fk14755,1,07.05.1895,Gamlakarleby
fk14756,1,12.05.1937,Helsingfors
fk14757,1,18.01.1957,Sysmä
fk14757,1,18.01.1957,Hartola
fk14758,1,01.03.1949,Nilsiä
fk14759,1,26.02.1898,Säkkijärvi
fk14759,1,26.02.1898,Virolahti
fk14759,1,26.02.1898,Luumäki
fk14760,1,02.04.1936,Säkkijärvi
fk14760,1,02.04.1936,Ylämaa
fk14761,1,08.12.1921,Valkeakoski
fk14761,1,08.12.1921,Sääksmäki
fk14762,1,17.03.1906,Karjala
fk14763,1,01.05.1926,Helsinki
1458-8552,1,23.01.1894,Tammerfors
1458-8544,1,03.06.1882,Tammerfors
fk14766,1,25.04.1916,Tammerfors
1458-8587,1,07.12.1882,Tampere
fk14768,1,30.11.1898,Tampere
1458-2694,1,03.07.1866,Tampere
fk14770,1,22.10.1904,Tampere
fk14771,1,30.11.1924,Tampere
fk14772,1,26.11.1932,Tampere
1458-8595,1,04.12.1890,Tampere
1458-8609,1,05.01.1861,Kuopio
fk14775,1,19.09.1908,Terijoki
fk14776,1,16.08.1933,Teuva
fk14776,1,16.08.1933,Jurva
1457-4748,1,02.01.1829,Helsingfors
1457-4756,1,15.01.1771,Åbo
1458-6525,1,05.12.1870,Helsinki
fk14780,1,09.12.1916,Toijala
fk14780,1,09.12.1916,Kylmäkoski
fk14781,1,23.06.1898,Perä-Pohjola
fk14781,1,23.06.1898,Tornionjokilaakso
fk14782,1,07.12.1912,Tornio
fk14783,1,26.11.1959,Tornio
fk14783,1,26.11.1959,Alatornio
fk14783,1,26.11.1959,Karunki
fk14784,1,05.12.1903,Tornio
fk14785,1,10.12.1902,Tornio
fk14786,1,04.01.1935,Tottijärvi
fk14787,1,03.01.1922,Kajaani
fk14788,1,12.01.1915,Turku
1458-8633,1,15.12.1882,Turku
fk14790,1,17.10.1922,Varsinais-Suomi
fk14791,1,18.12.1924,Paimio
fk14791,1,18.12.1924,Sauvo
fk14791,1,18.12.1924,Karuna
fk14791,1,18.12.1924,Piikkiö
1457-4888,1,08.01.1820,Turku
fk14793,1,10.04.1914,Vammala
fk14793,1,10.04.1914,Tyrvää
fk14793,1,10.04.1914,Kiikoinen
fk14794,1,17.12.1904,Viipurin lääni
fk14795,1,06.08.1921,Viipuri
fk14796,1,25.02.1927,Etelä-Karjala
fk14797,1,04.10.1906,Tampere
fk14798,1,12.12.1945,Helsinki
fk14799,1,07.12.1906,Porvoo
fk14799,1,07.12.1906,Askola
fk14799,1,07.12.1906,Mäntsälä
fk14800,1,24.12.1918,Vaasa
fk14800,1,24.12.1918,Pietarsaari
1458-6533,1,20.11.1874,Helsinki
fk14802,1,14.02.1895,Helsinki
fk14802,1,14.02.1895,Uusimaa
fk14803,1,23.05.1919,Kymenlaakso
fk14804,1,01.03.1935,Tampere
fk14805,1,15.12.1917,Helsinki
fk14806,1,04.10.1921,Kajaani
fk14807,1,02.11.1945,Etelä-Häme
fk14808,1,29.01.1919,Jyväskylä
fk14809,1,02.06.1921,Kajaani
fk14810,1,01.08.1924,Vaasa
fk14811,1,19.09.1923,Helsinki
fk14812,1,05.11.1919,Kajaani
fk14813,1,15.03.1921,Kajaani
fk14814,1,11.07.1922,Kajaani
fk14815,1,21.01.1927,Häme
fk14815,1,21.01.1927,Satakunta
fk14816,1,04.01.1910,Helsinki
1458-8641,1,27.03.1863,Turku
fk14818,1,20.12.1905,Turku
fk14819,1,24.10.1891,Uleåborg
1458-865X,1,04.01.1877,Uleåborg
fk14821,1,17.10.1951,Kerava
fk14821,1,17.10.1951,Järvenpää
fk14821,1,17.10.1951,Hyvinkää
fk14822,1,02.01.1919,Helsinki
fk14823,1,01.11.1912,Helsinki
fk14824,1,01.12.1900,Helsinki
1458-0543,1,01.01.1897,Turku
fk14826,1,21.12.1912,Heinola
fk14827,1,14.10.1937,Uudenmaan ja Hämeen itäosat
fk14830,1,21.12.1918,Kotka
fk14831,1,03.01.1923,Oulu
fk14832,1,10.05.1917,Helsinki
fk14833,1,25.04.1945,Turku
fk14833,1,25.04.1945,Varsinais-Suomi
fk14834,1,27.11.1919,Kuopio
1457-4721,1,04.01.1869,Suomi
1457-4721,2,03.01.1881,Maaseutu
fk14836,1,04.07.1926,Koko Suomi
fk14837,1,22.09.1905,Uusimaa
fk14838,1,26.11.1926,Lohja
fk14838,1,26.11.1926,Vihti
fk14838,1,26.11.1926,Pyhäjärvi
fk14838,1,26.11.1926,Pusula
fk14839,1,20.11.1930,Lohja
fk14840,1,03.12.1926,Uusimaa
1458-8676,1,16.12.1880,Vaasa
fk14842,1,12.12.1914,Vaasa
1458-8684,1,05.02.1878,Vaasa
1458-8692,1,03.12.1897,Vaasa
1458-8706,1,31.08.1912,Vaasa
fk14846,1,16.05.1908,Uusikaupunki
fk14847,1,05.01.1928,Valkeakoski
fk14847,1,05.01.1928,Sääksmäki
fk14848,1,06.03.1918,Suomi
fk14849,1,01.04.1932,Helsinki
fk14850,1,27.11.1925,Jämsä
fk14851,1,19.08.1920,Viipuri
fk14852,1,12.08.1941,Itä-Karjala
fk14853,1,02.01.1931,Viipuri
fk14854,1,19.01.1906,Vaasa
fk14855,1,02.01.1920,Vaasa
fk14855,1,02.01.1920,Pietarsaari
fk14856,1,07.11.1944,Helsinki
fk14857,1,17.10.1947,Mikkeli
fk14858,1,01.09.1932,Helsinki
fk14859,1,02.07.1930,Helsinki
fk14860,1,01.11.1906,Mikkeli
fk14861,1,16.11.1935,Varsinais-Suomi
fk14861,1,16.11.1935,Somero
fk14861,1,16.11.1935,Tammela
1458-8714,1,01.03.1881,Vasa
fk14863,1,07.12.1895,Vasa
fk14864,1,09.12.1898,Vasa
fk14864,1,09.12.1898,Svenska Österbotten
1457-442X,1,05.01.1839,Vasa
1457-4438,1,14.12.1880,Vasa
fk14867,1,03.01.1894,Vasa
fk14868,1,23.11.1892,Helsingfors
fk14869,1,24.11.1906,Helsinki
fk14870,1,15.08.1931,Vesilahti
1458-8730,1,03.10.1888,Björneborg
1458-0608,1,30.08.1881,Ekenäs
1457-4837,1,02.01.1855,Wiborg
1457-4845,1,07.01.1837,Wiborg
1458-6517,1,28.02.1899,Wiborg
1457-4853,1,01.02.1854,Wiborg
1457-487X,1,02.01.1864,Wiborg
1457-4861,1,01.01.1821,Wiburg
1457-4578,1,04.01.1823,Wiburg
fk14881,1,24.11.1951,Viiala
fk14882,1,17.12.1922,Helsinki
fk14883,1,30.10.1893,Viipuri
1458-2716,1,13.12.1884,Viipuri
1458-2724,1,16.03.1901,Viipuri
1458-2732,1,03.01.1910,Viipuri
1458-8749,1,29.01.1887,Viipuri
fk14888,1,21.09.1933,Viitasaari
1458-6541,1,28.11.1870,Helsingfors
fk14890,1,30.03.1917,HELSINKI
1458-8757,1,07.12.1889,Käkisalmi
1458-8757,1,07.12.1889,Kurkijoki
1458-8757,1,07.12.1889,Parikkala
fk14892,1,19.11.1897,Nyland
fk14892,1,19.11.1897,Österbotten
fk14892,1,19.11.1897,Åland
fk14893,1,27.11.1895,Åbo
fk14894,1,06.10.1906,Forssa
fk14895,1,01.07.1919,Kajaani
fk14896,1,19.09.1934,Ylöjärvi
fk14897,1,23.10.1953,Ylöjärvi
1457-4799,1,02.01.1810,Åbo
1457-4829,1,05.01.1821,Åbo
1457-4764,1,02.01.1789,Åbo
1458-8765,1,13.12.1873,Åbo
1457-4780,1,08.01.1800,Åbo
1457-4810,1,09.12.1882,Åbo
1457-4772,1,03.01.1791,Åbo
1457-4802,1,05.01.1820,Åbo
1458-8773,1,07.01.1868,Åland
fk14907,1,05.02.1927,Åland
fk14908,1,08.01.1927,Ähtäri
fk14908,1,08.01.1927,Lehtimäki
fk14908,1,08.01.1927,Soini
fk14909,1,01.11.1913,Helsinki
1458-8781,1,01.01.1864,Vasa
1458-8781,1,01.01.1864,Österbotten
fk14911,1,25.09.1926,Österbotten
fk14912,1,02.04.1932,Österbotten
fk14913,1,06.06.1908,Vasa
fk14913,1,06.06.1908,Österbotten
1458-8803,1,13.12.1883,Nykarleby
0359-4491,1,10.01.1919,Hämeenlinna
0359-5048,1,14.11.1959,Kuusankoski
0359-5064,1,03.09.1927,Heinola
0359-5617,1,03.07.1981,Ähtäri
0359-6087,1,12.12.1953,Kiuruvesi
0359-6095,1,15.12.1955,Pyhäjärvi
0359-6281,1,08.01.1925,Vammala
0359-632X,1,09.10.1977,Riihimäki
0359-6699,1,23.08.1957,Tornionjokilaakso
0359-6699,1,23.08.1957,Länsi-Lappi
0359-8594,1,17.12.1982,Haapavesi
0359-8748,1,11.11.1982,Karttula
0359-8748,1,11.11.1982,Tervo
0359-8748,1,11.11.1982,Vesanto
0359-9523,1,01.12.1982,Merikarvia
0437-2999,1,15.12.1909,Turku
0451-5560,1,23.12.1898,Suomi
0491-5593,1,01.01.1946,Helsinki
0780-0630,1,04.01.1962,Suomenselkä
0780-0657,1,09.08.1982,Toijala
0780-0657,1,09.08.1982,Viiala
0780-0657,1,09.08.1982,Kylmäkoski
0780-2110,1,28.11.1974,Kuopio
0780-2331,1,02.11.1978,Forssa
0780-2358,1,15.12.1982,Kittilä
0780-2447,1,02.06.1982,Kuusankoski
0780-2463,1,29.03.1983,Oulainen
0780-2757,1,23.01.1969,Viiala
0780-3524,1,12.08.1982,Hollola
0780-3648,1,13.01.1971,Sysmä
0780-3648,1,13.01.1971,Hartola
0780-427X,1,04.11.1982,Kerava
0780-427X,1,04.11.1982,Tuusula
0780-427X,1,04.11.1982,Korso
0780-427X,1,04.11.1982,Sipoo
0780-427X,2,02.11.1986,Järvenpää
0780-5063,1,18.02.1983,Kristinestad
0780-7392,1,06.10.1983,Pielavesi
0780-7767,1,20.11.1980,Kuusankoski
0780-7791,1,31.07.1983,Riihelä
0780-8003,1,01.12.1968,Kouvola
0780-9751,1,03.02.1984,Porvoo
0780-9751,1,03.02.1984,Loviisa
0780-9751,1,03.02.1984,Askola
0781-1926,1,19.10.1961,Nurmijärvi
0781-3694,1,06.01.1955,Kauhava
0781-3988,1,16.09.1976,Kotka
0781-5026,1,10.11.1983,Vammala
0781-5026,1,10.11.1983,Huittinen
0781-5077,1,15.01.1984,Vaasa
0781-9234,1,23.03.1980,Hervanta
0781-9234,1,23.03.1980,Hallila
0781-9234,1,23.03.1980,Kaukajärvi
0782-1158,1,15.12.1984,Kerava
0782-372X,1,10.08.1915,Kemi
0782-4343,1,16.05.1985,Taivalkoski
0782-4920,1,19.12.1978,Noormarkku
0782-4920,1,19.12.1978,Pomarkku
0782-5358,1,22.12.1917,Urjala
0782-5366,1,14.09.1956,Hämeenkoski
0782-5366,1,14.09.1956,Lammi
0782-5366,1,14.09.1956,Tuulos
0782-5366,1,14.09.1956,Hauho
0782-5374,1,27.09.1951,Orimattila
0782-5374,1,27.09.1951,Artjärvi
0782-5374,1,27.09.1951,Myrskylä
0782-5382,1,01.04.1965,Nurmes
0782-5390,1,27.11.1937,Oulu
0782-5404,1,01.05.1943,Salo
0782-5501,1,14.03.1958,Kuopio
0782-551X,1,01.02.1974,Raahe
0782-5528,1,06.02.1937,Jakobstad
0782-5536,1,04.12.1975,Imatra
0782-5544,1,05.05.1948,Askainen
0782-5544,1,05.05.1948,Lemu
0782-5560,1,05.01.1939,Nokia
0782-5579,1,24.05.1957,Kemijärvi
0782-5587,1,20.06.1925,Kauhajoki
0782-5595,1,30.01.1925,Laitila ja ympäristökunnat
0782-5617,1,28.04.1976,Himanka
0782-5617,1,28.04.1976,Kannus
0782-5617,1,28.04.1976,Lestijärvi
0782-5625,1,09.12.1966,Liperi
0782-5625,1,09.12.1966,Rääkkylä
0782-5668,1,01.11.1949,Loimaa
0782-5676,1,01.10.1970,Veteli
0782-5676,1,01.10.1970,Halsua
0782-5676,1,01.10.1970,Kaustinen
0782-5676,1,01.10.1970,Perho
0782-5684,1,03.01.1974,Eura
0782-5684,1,03.01.1974,Kiukainen
0782-5684,1,03.01.1974,Köyliö
0782-5684,1,03.01.1974,Lappi
0782-5692,1,14.05.1975,Mikkeli
0782-5714,1,29.12.1944,Perniö
0782-5714,1,29.12.1944,Särkisalo
0782-5714,1,29.12.1944,Kemiö
0782-5714,1,29.12.1944,Tenhola
0782-5722,1,14.11.1958,Turku
0782-5730,1,03.01.1955,Hamina
0782-5749,1,17.06.1966,Harjavalta
0782-5749,1,17.06.1966,Nakkila
0782-5749,1,17.06.1966,Kiukainen
0782-5757,1,19.11.1927,Säynätsalo
0782-5773,1,14.10.1932,Lapua
0782-5781,1,10.10.1969,Heinävesi
0782-579X,1,01.06.1934,Ikaalinen
0782-5803,1,11.07.1914,Riihimäki
0782-5811,1,28.04.1956,Pöytyä
0782-5811,1,28.04.1956,Oripää
0782-5811,1,28.04.1956,Yläne
0782-5811,1,28.04.1956,AURA
0782-582X,1,15.02.1974,Teuva
0782-582X,1,15.02.1974,Jurva
0782-582X,1,15.02.1974,Karijoki
0782-5838,1,24.04.1959,Laihia
0782-5838,1,24.04.1959,Vähäkyrö
0782-5846,1,31.03.1951,Turku
0782-5900,1,02.08.1972,Suonenjoki
0782-5900,1,02.08.1972,Rautalampi
0782-5900,1,02.08.1972,Vesanto
0782-5919,1,28.01.1943,Saarijärvi
0782-5927,1,01.06.1950,Teuva
0782-5927,1,01.06.1950,Jurva
0782-5927,1,01.06.1950,Karijoki
0782-5935,1,16.12.1954,Puumala
0782-5943,1,22.11.1968,Nastola
0782-5951,1,17.08.1926,Aura
0782-5951,1,17.08.1926,Karinainen
0782-5951,1,17.08.1926,Koski
0782-596X,1,21.12.1918,Kangasala
0782-5978,1,10.09.1937,Alajärvi
0782-5978,1,10.09.1937,Soini
0782-5978,1,10.09.1937,Vimpeli
0782-5986,1,31.12.1954,Lieto
0782-5986,1,31.12.1954,Rusko
0782-5986,1,31.12.1954,Vahto
0782-5986,1,31.12.1954,Maaria
0782-5986,1,31.12.1954,Paattinen
0782-5994,1,15.12.1948,Joroinen
0782-6001,1,24.11.1971,Joutsa
0782-6001,1,24.11.1971,Leivonmäki
0782-6001,1,24.11.1971,Luhanka
0782-601X,1,20.08.1970,Savitaipale
0782-601X,1,20.08.1970,Suomenniemi
0782-601X,1,20.08.1970,Lemi
0782-6044,1,08.04.1967,Kirkkonummi
0782-6044,1,08.04.1967,Siuntio
0782-6044,1,08.04.1967,Inkoo
0782-6168,1,29.11.1984,Ranua
0782-6168,1,29.11.1984,Posio
0782-6192,1,20.10.1945,Valkeakoski
0782-6206,1,01.11.1972,Mäntsälä
0782-6214,1,12.05.1983,Kalajoki
0782-6230,1,20.11.1906,Oulu
0782-6354,1,14.10.1953,Kangasniemi
0782-6397,1,13.11.1954,Lieksa
0782-6400,1,25.04.1974,Jyväskylä
0782-6400,1,25.04.1974,Säynätsalo
0782-6419,1,22.12.1905,Rauma
0782-6427,1,11.06.1976,Jurva
0782-6486,1,15.06.1974,Ranua
0782-6494,1,01.01.1977,Järvenpään ympäristö
0782-6494,1,01.01.1977,Tuusula
0782-6575,1,12.12.1973,Kokemäki
0782-6583,1,03.01.1969,Sulkava
0782-6591,1,05.02.1949,Keuruu
0782-6591,1,05.02.1949,Multia
0782-6605,1,01.08.1933,Kuru
0782-663X,1,29.11.1917,Forssa
0782-663X,1,29.11.1917,Lounais-Häme
0782-6656,1,09.06.1950,Isokyrö
0782-6656,1,09.06.1950,Vähäkyrö
0782-6656,1,09.06.1950,Ylistaro
0782-6753,1,29.04.1969,Pudasjärvi
0782-7067,1,09.04.1925,Mänttä
0782-7067,1,09.04.1925,Vilppula
0782-7067,1,09.04.1925,Kuorevesi
0782-7105,1,04.06.1970,Kimito
0782-7768,1,17.01.1957,Ylöjärvi
0782-8306,1,18.09.1952,Vihti
0783-0025,1,01.10.1980,Suomi
0783-0025*A,1,20.11.1989,Helsingin seutu
0783-2249,1,09.10.1986,Varkaus
0783-2249,1,09.10.1986,Kuvansi
0783-3261,1,04.12.1914,Lohja
0783-3709,1,19.09.1986,Keuruu
0783-4810,1,13.11.1986,Kiiminki
0783-9774,1,05.11.1986,Oulu
0783-9812,1,09.07.1986,Pidisjärvi
0784-0020,1,01.09.1986,Kitee
0784-0020,1,01.09.1986,Tohmajärvi
0784-0020,1,01.09.1986,Rääkkylä
0784-0373,1,05.02.1986,Nummi-Pusula
0784-0381,1,05.11.1986,Ähtäri
0784-0381,1,05.11.1986,Soini
0784-1663,1,26.10.1956,Juva
0784-2147,1,03.01.1985,Kuusamo
0784-2147,1,03.01.1985,Posio
0784-2147,1,03.01.1985,Taivalkoski
0784-2465,1,12.09.1985,Kaarina
0784-364X,1,29.04.1927,Ylivieska
0784-3879,1,23.10.1975,Lappeenranta
0784-4018,1,02.10.1986,SODANKYLÄ
0784-428X,1,02.07.1985,Pietarsaari
0784-4476,1,16.03.1978,Sodankylä
0784-4476,1,16.03.1978,Inari
0784-4476,1,16.03.1978,Utsjoki
0784-4484,1,05.08.1987,Sodankylä
0784-4484,1,05.08.1987,Kittilä
0784-4484,1,05.08.1987,Inari...
0784-5693,1,11.02.1987,Inari
0784-5693,1,11.02.1987,Utsjoki
0784-6568,1,08.04.1950,Padasjoki
0785-2053,1,01.02.1979,Rauma
0785-398X,1,03.01.1824,Åbo
0785-3998,1,10.01.1917,Pargas
0785-5907,1,07.01.1988,Reisjärvi
